ID,Repositorium,Vorname Autor,Nachname Autor,Nationalität,Pseudonym/Anderer Name,Gesamtname Autor,Geburtsjahr,Sterbejahr,Autor:innengender,Titel,Dateiname,verwendetes Datum,Wörter,Typen,norm_year,Tier,Pflanze,Lebensraum,Gesamt,Dichte,
2293,gutenberg,Helene,von Mühlau,Deutschland,"Emilie Hedwig v. Mühlenfels, geb. Rathgeber, Hedwig von Mühlenfels",Helene von Mühlau,1874,1923,female,Frau Doktor Breuer,von_Muehlau_Helene_Frau_Doktor_Breuer,1920,76231,8555,1920,54,47,180,281,"0,003686164421","0,009140429792"
2314,DTA,Hermione,von Preuschen,Deutschland,Hermine von Preuschen,Hermione von Preuschen,1854,1918,female,Yoshiwara,von_Preuschen_Hermione_Yoshiwara,1920,28080,5947,1920,59,108,175,342,"0,01217948718","0,005889390725"
986,gutenberg,Henny,Koch,Deutschland,Henriette Koch,Henny Koch,1854,1925,female,Klein-Großchen,Koch_Henny_Klein-Grosschen,1919,80076,10298,1919,91,111,127,329,"0,004108596833","0,01502982052"
1389,textgrid,Grete,Meisel-Hess,Österreich,Grete Gellert,Grete Meisel-Hess,1879,1922,female,Die Intellektuellen,Meisel-Hess_Grete_Die_Intellektuellen,1911,98790,15797,1911,68,47,129,244,"0,002469885616",
1888,gutenberg,Ossip,Schubin,Tschechien,Aloisia (Lola) Kirschner,Ossip Schubin,1854,1934,female,Es fiel ein Reif in der Frühlingsnacht,Schubin_Ossip_Es_fiel_ein_Reif,1888,23537,6127,1888,57,64,70,191,"0,00811488295",
1944,gutenberg,Josephine,Siebe,Deutschland,,Josephine Siebe,1870,1941,female,Die Schloßkinder auf Rabenburg,Siebe_Josephine_Die_Schlosskinder_auf_Rabenburg,1919,51332,6845,1919,559,318,763,1640,"0,03194888179",
2148,DTA,Marie,Tihanyi Sturza,Ungarn/Deutschland,"Marie Karoline Alexandrine Tihanyi-Freyler, Marie Tihanyi Gräfin Stur(d)za, Marie (Irma) Karoline Alexandrine Sturza (Tihanyi-Freyler)",Marie Tihanyi Sturza,1867,1927-1935,female,Das Gelübde einer dreißigjährigen Frau,Tihanyi_Sturza_Marie_Das_Geluebde,1905,47088,8026,1905,56,65,108,229,"0,004863234794",
2155,gutenberg,Käthe,van Beeker,Deutschland,,Käthe van Beeker,1863,1917,female,Hansis Europareise,van_Beeker_Kaethe_Hansis_Europareise,1900,41761,7486,1900,269,91,253,613,"0,01467876727",
2231,gutenberg,Wilhemine,von Hillern,Deutschland,geb. Wilhelmine Birch,Wilhemine von Hillern,1836,1916,female,Die Geier-Wally,von_Hillern_Wilhemine_Die_Geier-Wally,1875,56861,8464,1875,588,71,350,1009,"0,01774502735",
1730,gutenberg,Agnes,Sapper,Deutschland,Agnes Brater,Agnes Sapper,1852,1929,female,Ein Wunderkind,Sapper_Agnes_Das_kleine_Dummerle_Ein_Wunderkind,1901,3066,889,1901,0,0,2,2,"0,0006523157208",
1731,gutenberg,Agnes,Sapper,Deutschland,Agnes Brater,Agnes Sapper,1852,1929,female,"Helf, wer helfen kann!",Sapper_Agnes_Das_kleine_Dummerle_Helf_wer_helfen_kann,1901,1418,537,1901,26,3,0,29,"0,02045133992",
1732,gutenberg,Agnes,Sapper,Deutschland,Agnes Brater,Agnes Sapper,1852,1929,female,Im Thüringer Wald,Sapper_Agnes_Das_kleine_Dummerle_Im_Thueringer_Wald,1901,19119,3348,1901,11,26,53,90,"0,004707359172",
1733,gutenberg,Agnes,Sapper,Deutschland,Agnes Brater,Agnes Sapper,1852,1929,female,In der Adlerapotheke,Sapper_Agnes_Das_kleine_Dummerle_In_der_Adlerapotheke,1901,9575,2209,1901,14,7,8,29,"0,003028720627",
1734,gutenberg,Agnes,Sapper,Deutschland,Agnes Brater,Agnes Sapper,1852,1929,female,Mutter und Tochter,Sapper_Agnes_Das_kleine_Dummerle_Mutter_und_Tochter,1901,6943,1545,1901,0,5,1,6,"0,0008641797494",
1735,gutenberg,Agnes,Sapper,Deutschland,Agnes Brater,Agnes Sapper,1852,1929,female,Regine Lenz,Sapper_Agnes_Das_kleine_Dummerle_Regine_Lenz,1901,7316,1641,1901,4,10,3,17,"0,002323674139",
1736,gutenberg,Agnes,Sapper,Deutschland,Agnes Brater,Agnes Sapper,1852,1929,female,Wie Johannes Ruhn Kaufmann wurde,Sapper_Agnes_Das_kleine_Dummerle_Wie_Johannes_Ruhn_Kaufmann_wurde,1901,2914,1030,1901,0,1,0,1,"0,0003431708991",
1737,gutenberg,Agnes,Sapper,Deutschland,Agnes Brater,Agnes Sapper,1852,1929,female,Die Familie Pfäffling,Sapper_Agnes_Die_Familie_Pfaeffling,1907,63983,7589,1907,54,122,24,200,"0,003125830299",
1876,gutenberg,Hedwig,Schobert,Deutschland,Hedwig von Bode,Hedwig Schobert,1857,1919,female,Künstlerblut,Schobert_Hedwig_Kuenstlerblut,1898,111307,12239,1898,107,209,66,382,"0,003431949473",
1973,gutenberg,Johanna,Spyri,Schweiz,Johanna Louise Heusser,Johanna Spyri,1827,1901,female,Am Felsensprung,Spyri_Johanna_Am_Felsensprung,1886,12969,2289,1886,2,149,91,242,"0,01865988126",
1974,gutenberg,Johanna,Spyri,Schweiz,Johanna Louise Heusser,Johanna Spyri,1827,1901,female,Artur und Squirrel,Spyri_Johanna_Artur_und_Squirrel,1888,39669,5007,1888,73,95,110,278,"0,007007991127",
1975,gutenberg,Johanna,Spyri,Schweiz,Johanna Louise Heusser,Johanna Spyri,1827,1901,female,Aus dem Leben,Spyri_Johanna_Aus_dem_Leben,1901,44820,6122,1901,49,354,379,782,"0,01744756805",
1976,gutenberg,Johanna,Spyri,Schweiz,Johanna Louise Heusser,Johanna Spyri,1827,1901,female,Beim Weiden-Joseph,Spyri_Johanna_Beim_Weiden-Joseph,1882,13657,2468,1882,49,60,73,182,"0,01332649923",
1977,gutenberg,Johanna,Spyri,Schweiz,Johanna Louise Heusser,Johanna Spyri,1827,1901,female,Der Toni vom Kandergrund,Spyri_Johanna_Der_Toni_vom_Kandergrund,1882,10053,2021,1882,50,15,67,132,"0,01313040883",
1978,gutenberg,Johanna,Spyri,Schweiz,Johanna Louise Heusser,Johanna Spyri,1827,1901,female,Einer vom Hause Lesa,Spyri_Johanna_Einer_vom_Hause_Lesa,1890,61932,6305,1890,186,162,339,687,"0,01109281147",
1979,textgrid,Johanna,Spyri,Schweiz,Johanna Louise Heusser,Johanna Spyri,1827,1901,female,"Heidi kann brauchen, was es gelernt hat",Spyri_Johanna_Heidi_kann_brauchen,1881,37367,4672,1881,91,157,248,496,"0,01327374421",
1981,gutenberg,Johanna,Spyri,Schweiz,Johanna Louise Heusser,Johanna Spyri,1827,1901,female,Heimatlos,Spyri_Johanna_Heimatlos,1878,53506,5304,1878,73,155,261,489,"0,009139161963",
1982,gutenberg,Johanna,Spyri,Schweiz,Johanna Louise Heusser,Johanna Spyri,1827,1901,female,Im Rhonetal,Spyri_Johanna_Im_Rhonetal,1880,25880,4445,1880,71,87,216,374,"0,01445131376",
1983,gutenberg,Johanna,Spyri,Schweiz,Johanna Louise Heusser,Johanna Spyri,1827,1901,female,In sicherer Hut,Spyri_Johanna_In_sicherer_Hut,1882,8929,1834,1882,24,56,76,156,"0,01747116138",
1984,gutenberg,Johanna,Spyri,Schweiz,Johanna Louise Heusser,Johanna Spyri,1827,1901,female,Moni der Geißbub,Spyri_Johanna_Moni_der_Geissbub,1887,8873,1750,1887,94,25,54,173,"0,01949735152",
1985,gutenberg,Johanna,Spyri,Schweiz,Johanna Louise Heusser,Johanna Spyri,1827,1901,female,Rosenresli,Spyri_Johanna_Rosenresli,1882,6713,1385,1882,8,105,31,144,"0,02145091613",
1986,gutenberg,Johanna,Spyri,Schweiz,Johanna Louise Heusser,Johanna Spyri,1827,1901,female,Schloss Wildenstein,Spyri_Johanna_Schloss_Wildenstein,1892,66192,6869,1892,79,171,187,437,"0,006602006285",
1987,gutenberg,Johanna,Spyri,Schweiz,Johanna Louise Heusser,Johanna Spyri,1827,1901,female,"Und wer nur Gott zum Freunde hat, dem hilft er immer wieder",Spyri_Johanna_Und_wer_nur_Gott,1882,7022,1641,1882,8,17,27,52,"0,007405297636",
1988,gutenberg,Johanna,Spyri,Schweiz,Johanna Louise Heusser,Johanna Spyri,1827,1901,female,"Vom This, der doch etwas wird",Spyri_Johanna_Vom_This,1886,10407,2105,1886,42,43,113,198,"0,01902565581",
1989,gutenberg,Johanna,Spyri,Schweiz,Johanna Louise Heusser,Johanna Spyri,1827,1901,female,Was die Großmutter gelehrt hat,Spyri_Johanna_Was_die_Grossmutter,1886,8628,1800,1886,12,119,38,169,"0,01958738989",
1990,gutenberg,Johanna,Spyri,Schweiz,Johanna Louise Heusser,Johanna Spyri,1827,1901,female,Was soll denn aus ihr werden?,Spyri_Johanna_Was_soll,1874,69563,6816,1874,62,274,307,643,"0,009243419634",
1991,gutenberg,Johanna,Spyri,Schweiz,Johanna Louise Heusser,Johanna Spyri,1827,1901,female,Wie Wiselis Weg gefunden wird,Spyri_Johanna_Wie_Wiselis_Weg,1878,27340,3636,1878,27,81,73,181,"0,006620336503",
2156,gutenberg,Emma,Vely,Deutschland,"Emma Simon, Wilhelmine Gertrude Friederike Karoline Theodore Marie Emma Couvely",Emma Vely,1848,1934,female,Burgfriede,Vely_Emma_Burgfriede,1901,26579,5090,1901,47,75,110,232,"0,008728695587",
2157,gutenberg,Hermine,Villinger,Deutschland,"H. Wilfried, H. Willfried, Hermine Anna Theresia Xaveria Villinger",Hermine Villinger,1849,1917,female,Aus dem Fexenreich,Villinger_Hermine_Aus_unserer_Zeit_Aus_dem_Fexenreich,1893,12749,3000,1893,16,14,80,110,"0,008628127696",
2158,gutenberg,Hermine,Villinger,Deutschland,"H. Wilfried, H. Willfried, Hermine Anna Theresia Xaveria Villinger",Hermine Villinger,1849,1917,female,Die Bas,Villinger_Hermine_Aus_unserer_Zeit_Die_Bas,1893,5032,1388,1893,13,3,10,26,"0,005166931638",
2159,gutenberg,Hermine,Villinger,Deutschland,"H. Wilfried, H. Willfried, Hermine Anna Theresia Xaveria Villinger",Hermine Villinger,1849,1917,female,Revisors,Villinger_Hermine_Aus_unserer_Zeit_Revisors,1893,3516,1288,1893,20,3,3,26,"0,00739476678",
2160,gutenberg,Hermine,Villinger,Deutschland,"H. Wilfried, H. Willfried, Hermine Anna Theresia Xaveria Villinger",Hermine Villinger,1849,1917,female,"""Vons.""",Villinger_Hermine_Aus_unserer_Zeit_Vons,1893,18419,3958,1893,17,42,43,102,"0,005537759922",
2161,gutenberg,Hermine,Villinger,Deutschland,"H. Wilfried, H. Willfried, Hermine Anna Theresia Xaveria Villinger",Hermine Villinger,1849,1917,female,Die Rebächle,Villinger_Hermine_Die_Rebaechle,1910,42068,7185,1910,192,121,121,434,"0,01031663022",
2162,gutenberg,Eufemia,von Adlersfeld-Ballestrem,Deutschland,Anna Eufemia Carolina Gräfin von Adlersfeld-Ballestrem,Eufemia von Adlersfeld-Ballestrem,1854,1941,female,Amönenhof,von_Adlersfeld-Ballestrem_Eufemia_Amoenenhof,1918,92047,12335,1918,180,109,177,466,"0,005062631047",
2163,gutenberg,Eufemia,von Adlersfeld-Ballestrem,Deutschland,Anna Eufemia Carolina Gräfin von Adlersfeld-Ballestrem,Eufemia von Adlersfeld-Ballestrem,1854,1941,female,Rosazimmer,von_Adlersfeld-Ballestrem_Eufemia_Rosazimmer,1908,71944,9975,1908,73,54,88,215,"0,00298843545",
2167,gutenberg,Frieda,von Bülow,Deutschland,Frieda Sophie Luise Freiin von Bülow,Frieda von Bülow,1857,1909,female,Die stilisierte Frau,von_Buelow_Frieda_Die_schoensten_Novellen_Die_stilisierte_Frau,1893,13725,3821,1893,16,41,38,95,"0,006921675774",
2168,gutenberg,Frieda,von Bülow,Deutschland,Frieda Sophie Luise Freiin von Bülow,Frieda von Bülow,1857,1909,female,Lass mich nun vergessen,von_Buelow_Frieda_Die_schoensten_Novellen_Lass_mich_nun_vergessen,1893,17883,4531,1893,22,19,21,62,"0,003466979813",
2169,gutenberg,Frieda,von Bülow,Deutschland,Frieda Sophie Luise Freiin von Bülow,Frieda von Bülow,1857,1909,female,Sie und Er,von_Buelow_Frieda_Die_schoensten_Novellen_Sie_und_Er,1893,8214,2533,1893,9,18,9,36,"0,00438276114",
2170,gutenberg,Frieda,von Bülow,Deutschland,Frieda Sophie Luise Freiin von Bülow,Frieda von Bülow,1857,1909,female,Zwei Menschen,von_Buelow_Frieda_Die_schoensten_Novellen_Zwei_Menschen,1893,15477,4051,1893,34,40,102,176,"0,01137171286",
2173,textgrid,Marie,von Ebner-Eschenbach,Österreich,Marie Dubský von Třebomyslice,Marie von Ebner-Eschenbach,1830,1916,female,Agave,von_Ebner-Eschenbach_Marie_Agave,1903,42175,8326,1903,70,78,97,245,"0,005809128631",
2174,textgrid,Marie,von Ebner-Eschenbach,Österreich,Marie Dubský von Třebomyslice,Marie von Ebner-Eschenbach,1830,1916,female,Bozena,von_Ebner-Eschenbach_Marie_Bozena,1875,62692,10578,1875,138,132,117,387,"0,006173036432",
2175,textgrid,Marie,von Ebner-Eschenbach,Österreich,Marie Dubský von Třebomyslice,Marie von Ebner-Eschenbach,1830,1916,female,Das Gemeindekind,von_Ebner-Eschenbach_Marie_Das_Gemeindekind,1887,63844,9955,1887,212,95,161,468,"0,007330367771",
2176,textgrid,Marie,von Ebner-Eschenbach,Österreich,Marie Dubský von Třebomyslice,Marie von Ebner-Eschenbach,1830,1916,female,Das Schädliche,von_Ebner-Eschenbach_Marie_Das_Schaedliche,1894,20001,4676,1894,59,38,36,133,"0,006649667517",
2177,textgrid,Marie,von Ebner-Eschenbach,Österreich,Marie Dubský von Třebomyslice,Marie von Ebner-Eschenbach,1830,1916,female,Der gute Mond,von_Ebner-Eschenbach_Marie_Der_gute_Mond,1886,8724,2589,1886,27,15,23,65,"0,007450710683",
2178,textgrid,Marie,von Ebner-Eschenbach,Österreich,Marie Dubský von Třebomyslice,Marie von Ebner-Eschenbach,1830,1916,female,Der Herr Hofrat,von_Ebner-Eschenbach_Marie_Der_Herr_Hofrat,1912,14438,4019,1912,25,45,41,111,"0,007688045436",
2179,textgrid,Marie,von Ebner-Eschenbach,Österreich,Marie Dubský von Třebomyslice,Marie von Ebner-Eschenbach,1830,1916,female,Der Kreisphysikus,von_Ebner-Eschenbach_Marie_Der_Kreisphysikus,1883,21134,5532,1883,49,51,80,180,"0,00851708148",
2180,gutenberg,Marie,von Ebner-Eschenbach,Österreich,Marie Dubský von Třebomyslice,Marie von Ebner-Eschenbach,1830,1916,female,Der Säger,von_Ebner-Eschenbach_Marie_Der_Saeger,1910,4343,1611,1910,8,17,14,39,"0,008979967764",
2181,textgrid,Marie,von Ebner-Eschenbach,Österreich,Marie Dubský von Třebomyslice,Marie von Ebner-Eschenbach,1830,1916,female,Der Vorzugsschüler,von_Ebner-Eschenbach_Marie_Der_Vorzugsschueler,1898,12857,3406,1898,42,8,23,73,"0,005677840865",
2182,gutenberg,Marie,von Ebner-Eschenbach,Österreich,Marie Dubský von Třebomyslice,Marie von Ebner-Eschenbach,1830,1916,female,Die arme Kleine,von_Ebner-Eschenbach_Marie_Die_arme_Kleine,1903,58501,9586,1903,175,117,202,494,"0,008444300097",
2183,textgrid,Marie,von Ebner-Eschenbach,Österreich,Marie Dubský von Třebomyslice,Marie von Ebner-Eschenbach,1830,1916,female,Die Freiherren von Gemperlein,von_Ebner-Eschenbach_Marie_Die_Freiherren_von_Gemperlein,1889,14745,4136,1889,58,37,59,154,"0,01044421838",
2184,textgrid,Marie,von Ebner-Eschenbach,Österreich,Marie Dubský von Třebomyslice,Marie von Ebner-Eschenbach,1830,1916,female,Die Poesie des Unbewussten,von_Ebner-Eschenbach_Marie_Die_Poesie_des_Unbewussten,1883,3630,1222,1883,8,6,16,30,"0,00826446281",
2185,gutenberg,Marie,von Ebner-Eschenbach,Österreich,Marie Dubský von Třebomyslice,Marie von Ebner-Eschenbach,1830,1916,female,Die Resel,von_Ebner-Eschenbach_Marie_Die_Resel,1883,4997,1549,1883,16,3,15,34,"0,006804082449",
2186,gutenberg,Marie,von Ebner-Eschenbach,Österreich,Marie Dubský von Třebomyslice,Marie von Ebner-Eschenbach,1830,1916,female,Die Spitzin,von_Ebner-Eschenbach_Marie_Die_Spitzin,1901,3498,1295,1901,41,4,10,55,"0,01572327044",
2187,gutenberg,Marie,von Ebner-Eschenbach,Österreich,Marie Dubský von Třebomyslice,Marie von Ebner-Eschenbach,1830,1916,female,Die Sünderin,von_Ebner-Eschenbach_Marie_Die_Suenderin,1915,2235,877,1915,2,6,5,13,"0,00581655481",
2188,gutenberg,Marie,von Ebner-Eschenbach,Österreich,Marie Dubský von Třebomyslice,Marie von Ebner-Eschenbach,1830,1916,female,Die Totenwacht,von_Ebner-Eschenbach_Marie_Die_Totenwacht,1894,6444,1925,1894,18,2,8,28,"0,00434512725",
2189,textgrid,Marie,von Ebner-Eschenbach,Österreich,Marie Dubský von Třebomyslice,Marie von Ebner-Eschenbach,1830,1916,female,Ein kleiner Roman,von_Ebner-Eschenbach_Marie_Ein_kleiner_Roman,1879,26364,5643,1879,52,24,68,144,"0,005461993628",
2190,textgrid,Marie,von Ebner-Eschenbach,Österreich,Marie Dubský von Třebomyslice,Marie von Ebner-Eschenbach,1830,1916,female,Ein Spätgeborner,von_Ebner-Eschenbach_Marie_Ein_Spaetgeborner,1875,15738,4247,1875,23,14,26,63,"0,004003049943",
2191,textgrid,Marie,von Ebner-Eschenbach,Österreich,Marie Dubský von Třebomyslice,Marie von Ebner-Eschenbach,1830,1916,female,Er laßt die Hand küssen,von_Ebner-Eschenbach_Marie_Er_lasst_die_Hand,1886,6128,2062,1886,12,9,23,44,"0,007180156658",
2192,textgrid,Marie,von Ebner-Eschenbach,Österreich,Marie Dubský von Třebomyslice,Marie von Ebner-Eschenbach,1830,1916,female,Ihr Traum,von_Ebner-Eschenbach_Marie_Ihr_Traum,1886,9531,2924,1886,13,12,22,47,"0,004931276886",
2193,textgrid,Marie,von Ebner-Eschenbach,Österreich,Marie Dubský von Třebomyslice,Marie von Ebner-Eschenbach,1830,1916,female,Krambambuli,von_Ebner-Eschenbach_Marie_Krambambuli,1883,3811,1475,1883,80,22,15,117,"0,03070060352",
2194,textgrid,Marie,von Ebner-Eschenbach,Österreich,Marie Dubský von Třebomyslice,Marie von Ebner-Eschenbach,1830,1916,female,"Lotti, die Uhrmacherin",von_Ebner-Eschenbach_Marie_Lotti,1880,33544,6897,1880,68,30,40,138,"0,004113999523",
2195,textgrid,Marie,von Ebner-Eschenbach,Österreich,Marie Dubský von Třebomyslice,Marie von Ebner-Eschenbach,1830,1916,female,Maslans Frau,von_Ebner-Eschenbach_Marie_Maslans_Frau,1901,11450,2984,1901,34,19,31,84,"0,007336244541",
2196,textgrid,Marie,von Ebner-Eschenbach,Österreich,Marie Dubský von Třebomyslice,Marie von Ebner-Eschenbach,1830,1916,female,Nach dem Tode,von_Ebner-Eschenbach_Marie_Nach_dem_Tode,1883,24318,5678,1883,56,53,75,184,"0,007566411711",
2197,gutenberg,Marie,von Ebner-Eschenbach,Österreich,Marie Dubský von Třebomyslice,Marie von Ebner-Eschenbach,1830,1916,female,Oversberg,von_Ebner-Eschenbach_Marie_Oversberg,1892,14044,3364,1892,32,13,32,77,"0,005482768442",
2198,textgrid,Marie,von Ebner-Eschenbach,Österreich,Marie Dubský von Třebomyslice,Marie von Ebner-Eschenbach,1830,1916,female,Unsühnbar,von_Ebner-Eschenbach_Marie_Unsuehnbar,1890,58015,10538,1890,189,84,212,485,"0,008359906921",
2199,gutenberg,Marie,von Ebner-Eschenbach,Österreich,Marie Dubský von Třebomyslice,Marie von Ebner-Eschenbach,1830,1916,female,Unverbesserlich,von_Ebner-Eschenbach_Marie_Unverbesserlich,1910,13905,3870,1910,47,25,35,107,"0,007695073714",
2200,gutenberg,Nataly,von Eschstruth,Deutschland,"Nataly (Natalie) Auguste Karline Amalie Hermine von Eschstruth, Nataly von Knobelsdorff-Brenkenhoff",Nataly von Eschstruth,1860,1939,female,Der Irrgeist des Schlosses,von_Eschstruth_Nataly_Der_Irrgeist_des_Schlosses,1886,60513,10477,1886,137,254,311,702,"0,01160081305",
2201,gutenberg,Nataly,von Eschstruth,Deutschland,"Nataly (Natalie) Auguste Karline Amalie Hermine von Eschstruth, Nataly von Knobelsdorff-Brenkenhoff",Nataly von Eschstruth,1860,1939,female,Der Stern des Glücks,von_Eschstruth_Nataly_Der_Stern_des_Gluecks,1913,79555,12722,1913,146,177,179,502,"0,006310099931",
2202,gutenberg,Nataly,von Eschstruth,Deutschland,"Nataly (Natalie) Auguste Karline Amalie Hermine von Eschstruth, Nataly von Knobelsdorff-Brenkenhoff",Nataly von Eschstruth,1860,1939,female,Der verlorene Sohn,von_Eschstruth_Nataly_Der_verlorene_Sohn,1902,95596,13772,1902,220,205,154,579,"0,006056738776",
2203,gutenberg,Nataly,von Eschstruth,Deutschland,"Nataly (Natalie) Auguste Karline Amalie Hermine von Eschstruth, Nataly von Knobelsdorff-Brenkenhoff",Nataly von Eschstruth,1860,1939,female,Die Bären von Hohen-Esp,von_Eschstruth_Nataly_Die_Baeren_von_Hohen-Esp,1902,60038,9670,1902,170,114,370,654,"0,01089310104",
2204,gutenberg,Nataly,von Eschstruth,Deutschland,"Nataly (Natalie) Auguste Karline Amalie Hermine von Eschstruth, Nataly von Knobelsdorff-Brenkenhoff",Nataly von Eschstruth,1860,1939,female,Die Erlkönigin,von_Eschstruth_Nataly_Die_Erlkoenigin,1870,53570,9419,1870,125,243,212,580,"0,01082695539",
