ID,Repositorium,Vorname Autor,Nachname Autor,Nationalität,Pseudonym/Anderer Name,Gesamtname Autor,Geburtsjahr,Sterbejahr,Autor:innengender,Titel,Dateiname,verwendetes Datum,Wörter,Typen,norm_year,Tier,Pflanze,Lebensraum,Gesamt,Dichte,
196,textgrid,Luise,Büchner,Deutschland,,Luise Büchner,1821,1877,female,Der Matrose vom Alabama,Buechner_Luise_Der_Matrose_vom_Alabama,1878,5930,2050,1878,5,1,46,52,"0,008768971332",
197,textgrid,Luise,Büchner,Deutschland,,Luise Büchner,1821,1877,female,Die Fee von Argouges,Buechner_Luise_Die_Fee_von_Argouges,1878,2264,955,1878,9,15,22,46,"0,0203180212",
2453,gutenberg,Elisabeth,Werner,Deutschland,Elisabeth Werner,Elisabeth Bürstenbinder,1838,1918,female,Adlerflug,Buerstenbinder_Elisabeth_Adlerflug,1886,35610,5893,1886,66,39,200,305,"0,008565009829",
2454,gutenberg,Elisabeth,Werner,Deutschland,Elisabeth Werner,Elisabeth Bürstenbinder,1838,1918,female,Fata Morgana,Buerstenbinder_Elisabeth_Fata_Morgana,1895,121699,11964,1895,196,152,606,954,"0,007839012646",
2455,gutenberg,Elisabeth,Werner,Deutschland,Elisabeth Werner,Elisabeth Bürstenbinder,1838,1918,female,Glück auf!,Buerstenbinder_Elisabeth_Glueck_auf,1874,100938,10581,1874,89,85,234,408,"0,00404208524",
2456,gutenberg,Elisabeth,Werner,Deutschland,Elisabeth Werner,Elisabeth Bürstenbinder,1838,1918,female,Der höhere Standpunkt,Buerstenbinder_Elisabeth_Hexengold_und_andere_Erzaehlungen_Der_hoehere_Standpunkt,1900,12944,3000,1900,8,31,77,116,"0,008961681088",
2457,gutenberg,Elisabeth,Werner,Deutschland,Elisabeth Werner,Elisabeth Bürstenbinder,1838,1918,female,Der Lebensquell,Buerstenbinder_Elisabeth_Hexengold_und_andere_Erzaehlungen_Der_Lebensquell,1900,21230,4239,1900,22,50,181,253,"0,01191709845",
2458,gutenberg,Elisabeth,Werner,Deutschland,Elisabeth Werner,Elisabeth Bürstenbinder,1838,1918,female,Edelwild,Buerstenbinder_Elisabeth_Hexengold_und_andere_Erzaehlungen_Edelwild,1900,18840,3532,1900,17,6,88,111,"0,005891719745",
2459,gutenberg,Elisabeth,Werner,Deutschland,Elisabeth Werner,Elisabeth Bürstenbinder,1838,1918,female,Hexengold,Buerstenbinder_Elisabeth_Hexengold_und_andere_Erzaehlungen_Hexengold,1900,54240,7445,1900,40,58,157,255,"0,004701327434",
203,textgrid,Lena,Christ,Deutschland,Magdalena Pichler,Lena Christ,1881,1920,female,Der Dorfdummerl,Christ_Lena_Der_Dorfdummerl,1919,1439,652,1919,1,5,11,17,"0,01181375956",
204,textgrid,Lena,Christ,Deutschland,Magdalena Pichler,Lena Christ,1881,1920,female,Die Ostereier der Reiserbuben,Christ_Lena_Die_Ostereier_der_Reiserbuben,1919,1065,504,1919,5,5,6,16,"0,01502347418",
205,gutenberg,Lena,Christ,Deutschland,Magdalena Pichler,Lena Christ,1881,1920,female,Erinnerungen einer Überflüssigen,Christ_Lena_Erinnerungen_einer_Ueberfluessigen,1912,68568,10887,1912,158,125,126,409,"0,005964881577",
206,gutenberg,Lena,Christ,Deutschland,Magdalena Pichler,Lena Christ,1881,1920,female,Lausdirndlgeschichten,Christ_Lena_Lausdirndlgeschichten,1913,17327,2972,1913,78,79,35,192,"0,01108097189",
207,textgrid,Lena,Christ,Deutschland,Magdalena Pichler,Lena Christ,1881,1920,female,Madam Bäurin,Christ_Lena_Madam_Baeurin,1919,34729,6416,1919,142,81,83,306,"0,008811080077",
208,textgrid,Lena,Christ,Deutschland,Magdalena Pichler,Lena Christ,1881,1920,female,Mathias Bichler,Christ_Lena_Mathias_Bichler,1914,69335,11243,1914,260,193,327,780,"0,01124972957",
209,textgrid,Ada,Christen,Österreich,Christi(a)na von Breden,Ada Christen,1839,1901,female,Als er heimkehrte,Christen_Ada_Als_er_heimkehrte,1884,6529,1934,1884,31,15,10,56,"0,008577117476",
210,textgrid,Ada,Christen,Österreich,Christi(a)na von Breden,Ada Christen,1839,1901,female,Der einsame Spatz,Christen_Ada_Der_einsame_Spatz,1884,3722,1431,1884,29,9,12,50,"0,01343363783",
211,textgrid,Ada,Christen,Österreich,Christi(a)na von Breden,Ada Christen,1839,1901,female,Jungfer Mutter,Christen_Ada_Jungfer_Mutter,1892,39246,6326,1892,131,78,69,278,"0,007083524436",
212,textgrid,Ada,Christen,Österreich,Christi(a)na von Breden,Ada Christen,1839,1901,female,Käthes Federhut,Christen_Ada_Kaethes_Federhut,1876,3754,1190,1876,33,4,9,46,"0,01225359616",
213,textgrid,Ada,Christen,Österreich,Christi(a)na von Breden,Ada Christen,1839,1901,female,Nachbar Krippelmacher,Christen_Ada_Nachbar_Krippelmacher,1884,2934,1154,1884,10,10,8,28,"0,009543285617",
214,textgrid,Ada,Christen,Österreich,Christi(a)na von Breden,Ada Christen,1839,1901,female,Rahel,Christen_Ada_Rahel,1880,3149,1195,1880,7,23,29,59,"0,0187361067",
277,gutenberg,Marie Eugenie,delle Grazie,Österreich,Marie Eugenie Delle Grazie,Marie Eugenie delle Grazie,1864,1931,female,Das Buch der Liebe,delle_Grazie_Marie_Eugenie_Das_Buch_der_Liebe,1916,78712,10477,1916,135,318,240,693,"0,008804248399",
278,DTA,Juliane,Déry,Ungarn/Österreich/Deutschland,"Juliane Deutsch, Juliane Decsy",Juliane Déry,1864,1899,female,Selige Liebe,Dery_Juliane_Selige_Liebe,1892,3580,1392,1892,12,43,36,91,"0,02541899441",
279,gutenberg,Jenny,Dirnböck-Schulz,Tschechien,,Jenny Dirnböck-Schulz,1850,1918,female,Aus Mizi's Memoiren,Dirnboeck-Schulz_Jenny_Aus_Mizis_Memoiren,1895,1726,743,1895,9,17,19,45,"0,02607184241",
280,textgrid,Hedwig,Dohm,Deutschland,Marianne Adelaide Hedwig Dohm,Hedwig Dohm,1831,1919,female,Christa Ruland,Dohm_Hedwig_Christa_Ruland,1902,63386,11897,1902,228,212,261,701,"0,01105922443",
281,textgrid,Hedwig,Dohm,Deutschland,Marianne Adelaide Hedwig Dohm,Hedwig Dohm,1831,1919,female,Schicksale einer Seele,Dohm_Hedwig_Schicksale_einer_Seele,1899,87428,14299,1899,283,453,427,1163,"0,01330237453",
282,textgrid,Hedwig,Dohm,Deutschland,Marianne Adelaide Hedwig Dohm,Hedwig Dohm,1831,1919,female,Sibilla Dalmar,Dohm_Hedwig_Sibilla_Dalmar,1896,80391,13568,1896,208,304,311,823,"0,01023746439",
283,textgrid,Hedwig,Dohm,Deutschland,Marianne Adelaide Hedwig Dohm,Hedwig Dohm,1831,1919,female,"Werde, die Du bist!",Dohm_Hedwig_Werde,1894,20012,4596,1894,59,138,166,363,"0,01813911653",
284,textgrid,Hedwig,Dohm,Deutschland,Marianne Adelaide Hedwig Dohm,Hedwig Dohm,1831,1919,female,Wie Frauen werden,Dohm_Hedwig_Wie_Frauen_werden,1894,31441,6628,1894,69,82,73,224,"0,007124455329",
290,textgrid,Dora,Duncker,Deutschland,Dorothea Livia Felicia Maria Duncker,Dora Duncker,1855,1916,female,Für ihr Kind,Duncker_Dora_Fuer_ihr_Kind,1897,10946,3064,1897,8,6,18,32,"0,002923442353",
291,textgrid,Dora,Duncker,Deutschland,Dorothea Livia Felicia Maria Duncker,Dora Duncker,1855,1916,female,Großstadt,Duncker_Dora_Grossstadt,1900,71654,9819,1900,54,116,115,285,"0,003977447177",
292,textgrid,Dora,Duncker,Deutschland,Dorothea Livia Felicia Maria Duncker,Dora Duncker,1855,1916,female,Gundula,Duncker_Dora_Gundula,1907,16493,3988,1907,17,53,85,155,"0,009397926393",
293,textgrid,Dora,Duncker,Deutschland,Dorothea Livia Felicia Maria Duncker,Dora Duncker,1855,1916,female,Jugend,Duncker_Dora_Jugend,1907,7428,2278,1907,6,18,52,76,"0,01023155627",
294,gutenberg,Dora,Duncker,Deutschland,Dorothea Livia Felicia Maria Duncker,Dora Duncker,1855,1916,female,Marquise von Pompadour,Duncker_Dora_Marquise_von_Pompadour,1913,74531,11870,1913,94,133,195,422,"0,0056620735",
295,textgrid,Dora,Duncker,Deutschland,Dorothea Livia Felicia Maria Duncker,Dora Duncker,1855,1916,female,Mütter,Duncker_Dora_Muetter,1897,12002,2752,1897,6,17,42,65,"0,005415764039",
296,textgrid,Dora,Duncker,Deutschland,Dorothea Livia Felicia Maria Duncker,Dora Duncker,1855,1916,female,Seine Letzte,Duncker_Dora_Seine_Letzte,1907,12074,2837,1907,19,29,44,92,"0,007619678648",
297,textgrid,Dora,Duncker,Deutschland,Dorothea Livia Felicia Maria Duncker,Dora Duncker,1855,1916,female,Sturm,Duncker_Dora_Sturm,1897,10414,2704,1897,7,17,103,127,"0,01219512195",
298,textgrid,Dora,Duncker,Deutschland,Dorothea Livia Felicia Maria Duncker,Dora Duncker,1855,1916,female,Unüberwindlich,Duncker_Dora_Unueberwindlich,1907,10325,2578,1907,11,5,19,35,"0,003389830508",
528,textgrid,Ilse,Frapan,Deutschland,"Elise Therese Levien, Ilse Frapan-Akunian",Ilse Frapan,1849,1908,female,Altmodische Leute,Frapan_Ilse_Altmodische_Leute,1890,11111,3064,1890,34,48,30,112,"0,0100801008",
529,textgrid,Ilse,Frapan,Deutschland,"Elise Therese Levien, Ilse Frapan-Akunian",Ilse Frapan,1849,1908,female,Arbeit,Frapan_Ilse_Arbeit,1903,75530,11878,1903,164,257,223,644,"0,008526413346",
530,DTA,Ilse,Frapan,Deutschland,"Elise Therese Levien, Ilse Frapan-Akunian",Ilse Frapan,1849,1908,female,Bittersüß,Frapan_Ilse_Bittersuess,1891,51114,8422,1891,149,160,173,482,"0,009429901788",
531,textgrid,Ilse,Frapan,Deutschland,"Elise Therese Levien, Ilse Frapan-Akunian",Ilse Frapan,1849,1908,female,Das Brosämle,Frapan_Ilse_Das_Brosaemle,1890,2101,880,1890,5,5,1,11,"0,005235602094",
532,textgrid,Ilse,Frapan,Deutschland,"Elise Therese Levien, Ilse Frapan-Akunian",Ilse Frapan,1849,1908,female,Der Erste,Frapan_Ilse_Der_Erste,1890,1717,755,1890,3,3,4,10,"0,005824111823",
533,textgrid,Ilse,Frapan,Deutschland,"Elise Therese Levien, Ilse Frapan-Akunian",Ilse Frapan,1849,1908,female,Die Last,Frapan_Ilse_Die_Last,1887,17001,4232,1887,30,37,58,125,"0,007352508676",
534,textgrid,Ilse,Frapan,Deutschland,"Elise Therese Levien, Ilse Frapan-Akunian",Ilse Frapan,1849,1908,female,Die Liebe ist gerettet,Frapan_Ilse_Die_Liebe_ist_gerettet,1890,1998,839,1890,0,1,1,2,"0,001001001001",
535,DTA,Ilse,Frapan,Deutschland,"Elise Therese Levien, Ilse Frapan-Akunian",Ilse Frapan,1849,1908,female,Der erste Blick hinter die Coulissen,Frapan_Ilse_Fluegel_auf_Der_erste_Blick_hinter_die_Coulissen,1895,19881,4552,1895,35,50,25,110,"0,005532920879",
536,DTA,Ilse,Frapan,Deutschland,"Elise Therese Levien, Ilse Frapan-Akunian",Ilse Frapan,1849,1908,female,Liebesmühen,Frapan_Ilse_Fluegel_auf_Liebesmuehen,1895,23332,5293,1895,62,63,75,200,"0,008571918395",
537,DTA,Ilse,Frapan,Deutschland,"Elise Therese Levien, Ilse Frapan-Akunian",Ilse Frapan,1849,1908,female,Symbiose,Frapan_Ilse_Fluegel_auf_Symbiose,1895,15017,3444,1895,20,32,11,63,"0,004195245389",
538,DTA,Ilse,Frapan,Deutschland,"Elise Therese Levien, Ilse Frapan-Akunian",Ilse Frapan,1849,1908,female,Weiße Flamme,Frapan_Ilse_Fluegel_auf_Weisse_Flamme,1895,15385,3991,1895,28,61,31,120,"0,007799805005",
539,textgrid,Ilse,Frapan,Deutschland,"Elise Therese Levien, Ilse Frapan-Akunian",Ilse Frapan,1849,1908,female,»Thedche Bolzen«,Frapan_Ilse_Thedche_Bolzen,1890,4832,1608,1890,9,16,3,28,"0,005794701987",
540,textgrid,Ilse,Frapan,Deutschland,"Elise Therese Levien, Ilse Frapan-Akunian",Ilse Frapan,1849,1908,female,»Uns' Ida«,Frapan_Ilse_Uns_Ida,1890,4088,1383,1890,27,7,12,46,"0,01125244618",
541,textgrid,Ilse,Frapan,Deutschland,"Elise Therese Levien, Ilse Frapan-Akunian",Ilse Frapan,1849,1908,female,Von der Straße,Frapan_Ilse_Von_der_Strasse,1890,1558,705,1890,10,1,7,18,"0,01155327343",
542,gutenberg,Ilse,Frapan,Deutschland,"Elise Therese Levien, Ilse Frapan-Akunian",Ilse Frapan,1849,1908,female,Ameise,Frapan_Ilse_Was_der_Alltag_dichtet_Ameise,1899,7205,2346,1899,52,4,14,70,"0,009715475364",
543,gutenberg,Ilse,Frapan,Deutschland,"Elise Therese Levien, Ilse Frapan-Akunian",Ilse Frapan,1849,1908,female,Der alte Prediger,Frapan_Ilse_Was_der_Alltag_dichtet_Der_alte_Prediger,1899,4218,1448,1899,4,8,19,31,"0,007349454718",
544,gutenberg,Ilse,Frapan,Deutschland,"Elise Therese Levien, Ilse Frapan-Akunian",Ilse Frapan,1849,1908,female,Der Sitter,Frapan_Ilse_Was_der_Alltag_dichtet_Der_Sitter,1899,22814,5324,1899,290,63,69,422,"0,01849741387",
545,gutenberg,Ilse,Frapan,Deutschland,"Elise Therese Levien, Ilse Frapan-Akunian",Ilse Frapan,1849,1908,female,Dort oben,Frapan_Ilse_Was_der_Alltag_dichtet_Dort_oben,1899,10574,2395,1899,19,41,21,81,"0,007660298846",
546,gutenberg,Ilse,Frapan,Deutschland,"Elise Therese Levien, Ilse Frapan-Akunian",Ilse Frapan,1849,1908,female,Emerenz,Frapan_Ilse_Was_der_Alltag_dichtet_Emerenz,1899,6366,2025,1899,18,17,7,42,"0,006597549482",
547,gutenberg,Ilse,Frapan,Deutschland,"Elise Therese Levien, Ilse Frapan-Akunian",Ilse Frapan,1849,1908,female,Lütten,Frapan_Ilse_Was_der_Alltag_dichtet_Luetten,1899,5979,1888,1899,20,19,25,64,"0,01070413113",
548,gutenberg,Ilse,Frapan,Deutschland,"Elise Therese Levien, Ilse Frapan-Akunian",Ilse Frapan,1849,1908,female,Onkel Johnny,Frapan_Ilse_Was_der_Alltag_dichtet_Onkel_Johnny,1899,19440,4131,1899,51,69,52,172,"0,008847736626",
549,textgrid,Ilse,Frapan,Deutschland,"Elise Therese Levien, Ilse Frapan-Akunian",Ilse Frapan,1849,1908,female,Wir Frauen haben kein Vaterland,Frapan_Ilse_Wir_Frauen,1899,24156,5435,1899,72,82,61,215,"0,008900480212",
649,gutenberg,Elisabeth,Goedicke,Deutschland,Else Goedicke,Elisabeth Goedicke,1873,1943,female,Jens Larsen,Goedicke_Elisabeth_Jens_Larsen,1907,46317,5503,1907,67,39,205,311,"0,006714597232",
703,gutenberg,Auguste,Groner,Österreich,,Auguste Groner,1850,1929,female,Der rote Merkur,Groner_Auguste_Der_rote_Merkur,1910-1912,49672,6972,1910,27,46,89,162,"0,00326139475",
704,gutenberg,Auguste,Groner,Österreich,,Auguste Groner,1850,1929,female,Warenhaus Groß & Comp.,Groner_Auguste_Warenhaus_Gross_&_Comp,1907,71818,9544,1907,228,89,91,408,"0,005681027041",
729,gutenberg,Agnes,Günther,Deutschland,Agnes Breuning,Agnes Günther,1863,1911,female,Die Heilige und ihr Narr,Guenther_Agnes_Die_Heilige,1913,223793,19234,1913,597,1685,930,3212,"0,01435254901",
748,gutenberg,Agnes,Harder,Deutschland,,Agnes Harder,1864,1939,female,Schlumski,Harder_Agnes_Schlumski,1916,33479,5157,1916,540,132,100,772,"0,02305923116",
797,gutenberg,Wilhelmine,Heimburg,Deutschland,Emilie Wilhelmine Bertha Behrens,Wilhelmine Heimburg,1848,1912,female,Alte Liebe,Heimburg_Wilhelmine_Alte_Liebe_und_anderes_Alte_Liebe,1904,5380,1604,1904,4,4,9,17,"0,003159851301",
798,gutenberg,Wilhelmine,Heimburg,Deutschland,Emilie Wilhelmine Bertha Behrens,Wilhelmine Heimburg,1848,1912,female,Großmutters Kathrin,Heimburg_Wilhelmine_Alte_Liebe_und_anderes_Grossmutters_Kathrin,1904,10331,2851,1904,27,14,37,78,"0,007550091956",
799,gutenberg,Wilhelmine,Heimburg,Deutschland,Emilie Wilhelmine Bertha Behrens,Wilhelmine Heimburg,1848,1912,female,Hilgendorf,Heimburg_Wilhelmine_Alte_Liebe_und_anderes_Hilgendorf,1904,10166,2718,1904,13,31,43,87,"0,008557938225",
800,gutenberg,Wilhelmine,Heimburg,Deutschland,Emilie Wilhelmine Bertha Behrens,Wilhelmine Heimburg,1848,1912,female,In Erinnerung,Heimburg_Wilhelmine_Alte_Liebe_und_anderes_In_Erinnerung,1904,12889,3228,1904,5,38,43,86,"0,006672356273",
801,gutenberg,Wilhelmine,Heimburg,Deutschland,Emilie Wilhelmine Bertha Behrens,Wilhelmine Heimburg,1848,1912,female,Korl Lorensen,Heimburg_Wilhelmine_Alte_Liebe_und_anderes_Korl_Lorensen,1904,10843,3094,1904,23,17,25,65,"0,005994650927",
802,gutenberg,Wilhelmine,Heimburg,Deutschland,Emilie Wilhelmine Bertha Behrens,Wilhelmine Heimburg,1848,1912,female,Maiblumen,Heimburg_Wilhelmine_Alte_Liebe_und_anderes_Maiblumen,1904,5751,1921,1904,12,54,26,92,"0,01599721788",
803,gutenberg,Wilhelmine,Heimburg,Deutschland,Emilie Wilhelmine Bertha Behrens,Wilhelmine Heimburg,1848,1912,female,Originale,Heimburg_Wilhelmine_Alte_Liebe_und_anderes_Originale,1904,14982,4352,1904,53,78,62,193,"0,01288212522",
804,gutenberg,Wilhelmine,Heimburg,Deutschland,Emilie Wilhelmine Bertha Behrens,Wilhelmine Heimburg,1848,1912,female,Aus dem Leben meiner alten Freundin,Heimburg_Wilhelmine_Aus_dem_Leben_meiner_alten_Freundin,1878,82520,9427,1878,107,185,205,497,"0,006022782356",
805,gutenberg,Wilhelmine,Heimburg,Deutschland,Emilie Wilhelmine Bertha Behrens,Wilhelmine Heimburg,1848,1912,female,Trudchens Heirat,Heimburg_Wilhelmine_Trudchens_Heirat,1894/1896,51848,8028,1894,95,190,162,447,"0,008621354729",
864,gutenberg,Jenny,Hirsch,Deutschland,,Jenny Hirsch,1829,1902,female,Ein seltsamer Fall,Hirsch_Jenny_Ein_seltsamer_Fall,1876,25428,5021,1876,17,18,39,74,"0,002910177757",
1388,gutenberg,Marie,Hirsch,Deutschland,Adalbert Meinhardt,Marie Hirsch,1848,1911,female,Auf dem Heilwigshof,Hirsch_Marie_Auf_dem_Heilwigshof,1890,14621,3481,1890,29,49,60,138,"0,0094384789",
1673,gutenberg,Felicitas,Rose,Deutschland,"Felicitas Rose Moersberger, geb. Rose Felicitas Schliewen",Felicitas Rose,1862,1938,female,Provinzmädel,Rose_Felicitas_Provinzmaedel,1902-1904,35974,6445,1902,69,47,74,190,"0,005281592261",
1726,gutenberg,Agnes,Sapper,Deutschland,Agnes Brater,Agnes Sapper,1852,1929,female,Das kleine Dummerle,Sapper_Agnes_Das_kleine_Dummerle_Das_kleine_Dummerle,1901,7623,1713,1901,12,3,9,24,"0,003148366785",
1727,gutenberg,Agnes,Sapper,Deutschland,Agnes Brater,Agnes Sapper,1852,1929,female,Das Mooserl,Sapper_Agnes_Das_kleine_Dummerle_Das_Mooserl,1901,1828,674,1901,1,27,17,45,"0,02461706783",
1728,gutenberg,Agnes,Sapper,Deutschland,Agnes Brater,Agnes Sapper,1852,1929,female,Die Feuerschau,Sapper_Agnes_Das_kleine_Dummerle_Die_Feuerschau,1901,1457,524,1901,0,0,0,0,0,
1729,gutenberg,Agnes,Sapper,Deutschland,Agnes Brater,Agnes Sapper,1852,1929,female,Ein geplagter Mann,Sapper_Agnes_Das_kleine_Dummerle_Ein_geplagter_Mann,1901,6669,1695,1901,11,20,13,44,"0,006597690808",
806,gutenberg,Anselma,Heine,Deutschland,"Selma Tony Feodore Heine, Anselm Heine, Feodor Helm",Anselma Heine,1855,1930,female,Die Erscheinung,Heine_Anselma_Die_Erscheinung,1912,9873,2859,1912,16,7,41,64,"0,006482325534",
807,gutenberg,Anselma,Heine,Deutschland,"Selma Tony Feodore Heine, Anselm Heine, Feodor Helm",Anselma Heine,1855,1930,female,Die verborgene Schrift,Heine_Anselma_Die_verborgene_Schrift,1918,151770,20975,1918,501,408,745,1654,"0,01089806945",
1386,gutenberg,Emerenz,Meier,Deutschland,,Emerenz Meier,1874,1928,female,Der Juhschroa,Meier_Emerenz_Der_Juhschroa,1893/1894,3618,1429,1893,7,14,6,27,"0,007462686567",
1387,gutenberg,Emerenz,Meier,Deutschland,,Emerenz Meier,1874,1928,female,Die Madlhüttler,Meier_Emerenz_Die_Madlhuettler,1897,3970,1561,1897,5,8,30,43,"0,01083123426",
1889,DTA,Ossip,Schubin,Tschechien,Aloisia (Lola) Kirschner,Ossip Schubin,1854,1934,female,Etiquette,Schubin_Ossip_Etiquette,1887,13992,4071,1887,33,46,48,127,"0,009076615209",
1890,gutenberg,Ossip,Schubin,Tschechien,Aloisia (Lola) Kirschner,Ossip Schubin,1854,1934,female,Im gewohnten Geleis,Schubin_Ossip_Im_gewohnten_Geleis,1904,75485,12017,1904,146,276,242,664,"0,008796449626",
1891,gutenberg,Ossip,Schubin,Tschechien,Aloisia (Lola) Kirschner,Ossip Schubin,1854,1934,female,Marška,Schubin_Ossip_Marska,1902,28091,5497,1902,112,211,201,524,"0,01865366132",
1892,gutenberg,Ossip,Schubin,Tschechien,Aloisia (Lola) Kirschner,Ossip Schubin,1854,1934,female,Maximum,Schubin_Ossip_Maximum,1896,61731,10443,1896,105,210,211,526,"0,008520840421",
1893,gutenberg,Ossip,Schubin,Tschechien,Aloisia (Lola) Kirschner,Ossip Schubin,1854,1934,female,Peterl,Schubin_Ossip_Peterl,1902,23685,5082,1902,248,105,103,456,"0,01925269158",
1894,gutenberg,Ossip,Schubin,Tschechien,Aloisia (Lola) Kirschner,Ossip Schubin,1854,1934,female,Schatten,Schubin_Ossip_Schatten,1906,29485,6183,1906,52,106,71,229,"0,007766661014",
1895,gutenberg,Ossip,Schubin,Tschechien,Aloisia (Lola) Kirschner,Ossip Schubin,1854,1934,female,Toter Frühling,Schubin_Ossip_Toter_Fruehling,1893,69690,11549,1893,97,170,196,463,"0,006643707849",
1896,DTA,Ossip,Schubin,Tschechien,Aloisia (Lola) Kirschner,Ossip Schubin,1854,1934,female,Vollmondzauber,Schubin_Ossip_Vollmondzauber,1899,57297,9804,1899,119,265,230,614,"0,01071609334",
,,,,,,,,,,,,,,,,32707,30962,42911,106580,,