Word,PoS,GermaNet_fields
Nessel,nomen,Pflanze
bestrahlen,verben,natPhaenomen
tröpfeln,verben,natPhaenomen
Orchidee,nomen,Pflanze
Moskito,nomen,Tier
Luchs,nomen,Tier
stöbern,verben,natPhaenomen
Skorpion,nomen,Tier
Windhund,nomen,Tier
Laubwerk,nomen,Pflanze
Alligator,nomen,Tier
Schub,nomen,natPhaenomen
Zapfen,nomen,Pflanze
Dürre,nomen,natPhaenomen
Wirbelwind,nomen,natPhaenomen
Elektrizität,nomen,natPhaenomen
Abendröte,nomen,natPhaenomen
Gerste,nomen,Pflanze
Bastard,nomen,Pflanze Tier
Butt,nomen,Tier
Halbmond,nomen,natPhaenomen
anwehen,verben,natPhaenomen
Tannenzweig,nomen,Pflanze
Bärin,nomen,Tier
Lufthauch,nomen,natPhaenomen
Wolkenbruch,nomen,natPhaenomen
ausbrennen,verben,natPhaenomen
Schwärze,nomen,natPhaenomen
Nachmittagssonne,nomen,natPhaenomen
landschaftlich,adj,natPhaenomen
Wanze,nomen,Tier
Pinie,nomen,Pflanze
Haifisch,nomen,Tier
Nordost,nomen,natPhaenomen
Greif,nomen,Tier
Gasflamme,nomen,natPhaenomen
Waldmeister,nomen,Pflanze
Regenwurm,nomen,Tier
Streif,nomen,natPhaenomen
Waldboden,nomen,natGegenstand
Ur,nomen,Tier
Eichel,nomen,Pflanze
Auerhahn,nomen,Tier
Klette,nomen,Pflanze
Stieglitz,nomen,Tier
Biber,nomen,Tier
Biest,nomen,Tier
Lama,nomen,Tier
Torf,nomen,natGegenstand
Ahorn,nomen,natGegenstand Pflanze
Hanf,nomen,Pflanze
Hündin,nomen,Tier
Mops,nomen,Tier
Spannkraft,nomen,natPhaenomen
Trophäe,nomen,Tier
Griffel,nomen,Pflanze
Kiebitz,nomen,Tier
Regenschauer,nomen,natPhaenomen
Wildfang,nomen,Tier
Mäuschen,nomen,Tier
Zulauf,nomen,natPhaenomen
Hofhund,nomen,Tier
Westwind,nomen,natPhaenomen
Aar,nomen,Tier
Mondsichel,nomen,natPhaenomen
Föhn,nomen,natPhaenomen
Brennholz,nomen,natGegenstand
Bluthund,nomen,Tier
Bast,nomen,Pflanze
Schröter,nomen,Tier
windstill,adj,natPhaenomen
Ausläufer,nomen,Pflanze
Apollo,nomen,Tier
Zeisig,nomen,Tier
Olive,nomen,Pflanze
Rindvieh,nomen,Tier
Rosenblatt,nomen,Pflanze
Zaunkönig,nomen,Tier
Brombeere,nomen,Pflanze
Dino,nomen,Tier
Heimchen,nomen,Tier
nebelhaft,adj,natPhaenomen
Gärung,nomen,natPhaenomen
Zicklein,nomen,Tier
Bussard,nomen,Tier
Lebensende,nomen,natPhaenomen
Lindenbaum,nomen,Pflanze
Schneefall,nomen,natPhaenomen
Ziegelstein,nomen,natGegenstand
Glätte,nomen,natPhaenomen
Narzisse,nomen,Pflanze
Spross,nomen,Pflanze
Maulesel,nomen,Tier
Dornbusch,nomen,Pflanze
Zelter,nomen,Tier
Gips,nomen,natGegenstand
Boxer,nomen,Tier
Lurch,nomen,Tier
Morgennebel,nomen,natPhaenomen
Platzregen,nomen,natPhaenomen
Klepper,nomen,Tier
Mühlstein,nomen,natGegenstand
Jaguar,nomen,Tier
Rüde,nomen,Tier
Kieselstein,nomen,natGegenstand
Gurke,nomen,Pflanze
Ara,nomen,Tier
Ebenholz,nomen,natGegenstand
Arbeiterin,nomen,Tier
Otter,nomen,Tier
Gummi,nomen,Pflanze
Fingerhut,nomen,Pflanze
Lichtstreifen,nomen,natPhaenomen
Herbstwind,nomen,natPhaenomen
schwelen,verben,natPhaenomen
Truthahn,nomen,Tier
Lauffeuer,nomen,natPhaenomen
Nussschale,nomen,Pflanze
Magnetismus,nomen,natPhaenomen
Sandkorn,nomen,natGegenstand
Vogelnest,nomen,natGegenstand
hügelig,adj,natPhaenomen
Kakadu,nomen,Tier
Antilope,nomen,Tier
Widder,nomen,Tier
Haselnuss,nomen,Pflanze
Gimpel,nomen,Tier
Singvogel,nomen,Tier
Nachhall,nomen,natPhaenomen
Phönix,nomen,Tier
Ginster,nomen,Pflanze
Schnepfe,nomen,Tier
g,nomen,natPhaenomen
Untergrund,nomen,natGegenstand
Postillion,nomen,Tier
Schneeglöckchen,nomen,Pflanze
Dackel,nomen,Tier
Haustier,nomen,Tier
Bremse,nomen,Tier
Riesenschlange,nomen,Tier
Laubfrosch,nomen,Tier
Hyazinthe,nomen,Pflanze
Wal,nomen,Tier
Spinnwebe,nomen,natGegenstand
immergrün,adj,natPhaenomen
Nordwest,nomen,natPhaenomen
Samenkorn,nomen,Pflanze
Backstein,nomen,natGegenstand
hageln,verben,natPhaenomen
Reibung,nomen,natPhaenomen
Hopfen,nomen,Pflanze
dornig,adj,natPhaenomen
Mohn,nomen,Pflanze
Sternschnuppe,nomen,natPhaenomen
Kaktus,nomen,Pflanze
Saphir,nomen,natGegenstand
Zeder,nomen,natGegenstand Pflanze
Baumwurzel,nomen,Pflanze
Hermelin,nomen,Tier
Linse,nomen,Pflanze
Schierling,nomen,Pflanze
Kornblume,nomen,Pflanze
Leu,nomen,Tier
Lämmchen,nomen,Tier
Südwind,nomen,natPhaenomen
Sonnenblume,nomen,Pflanze
Zirpe,nomen,Tier
Federvieh,nomen,Tier
Zerrbild,nomen,natPhaenomen
Hochwasser,nomen,natPhaenomen
Hungertod,nomen,natPhaenomen
Seewolf,nomen,Tier
Protz,nomen,Tier
Anemone,nomen,Pflanze
nasskalt,adj,natPhaenomen
Akazie,nomen,Pflanze
Pflänzchen,nomen,Pflanze
Bernstein,nomen,natGegenstand
Würmchen,nomen,Tier
Grundstein,nomen,natGegenstand
Wacholder,nomen,Pflanze
Grasmücke,nomen,Tier
Schattenspiel,nomen,natPhaenomen
Lachs,nomen,Tier
Unterton,nomen,natPhaenomen
Feuersäule,nomen,natPhaenomen
Paradiesvogel,nomen,Tier
Sandstein,nomen,natGegenstand
schmoren,verben,natPhaenomen
G,nomen,natPhaenomen
Waldbaum,nomen,Pflanze
Immergrün,nomen,Pflanze
Naturkraft,nomen,natPhaenomen
Ausdünstung,nomen,natPhaenomen
Malve,nomen,Pflanze
Goldfisch,nomen,Tier
Hamster,nomen,Tier
Schote,nomen,Pflanze
Käuzchen,nomen,Tier
Distelfink,nomen,Tier
Glockenblume,nomen,Pflanze
Leopard,nomen,Tier
Firn,nomen,natPhaenomen
Luftstrom,nomen,natPhaenomen
Turteltaube,nomen,Tier
Blümlein,nomen,Pflanze
Seerose,nomen,Pflanze Tier
flirren,verben,natPhaenomen
Steinboden,nomen,natGegenstand
Eichbaum,nomen,Pflanze
Triton,nomen,Tier
Feldstein,nomen,natGegenstand
Intervall,nomen,natPhaenomen
Mokka,nomen,Pflanze
Kupferstecher,nomen,Tier
Brennpunkt,nomen,natPhaenomen
Jargon,nomen,natGegenstand
Papyrus,nomen,Pflanze
Tierwelt,nomen,Tier
Spürhund,nomen,Tier
räuchern,verben,natPhaenomen
Kokosnuss,nomen,Pflanze
Frühlingsblume,nomen,Pflanze
Ölbaum,nomen,Pflanze
Pelikan,nomen,Tier
Sturmflut,nomen,natPhaenomen
Vampir,nomen,Tier
Weinstock,nomen,Pflanze
Kümmel,nomen,Pflanze
Alpenrose,nomen,Pflanze
Nilpferd,nomen,Tier
Herbstsonne,nomen,natPhaenomen
Sternenlicht,nomen,natPhaenomen
Hyazinth,nomen,natGegenstand
Holunder,nomen,Pflanze
Niederschlag,nomen,natPhaenomen
Buchfink,nomen,Tier
Murmeltier,nomen,Tier
Lindwurm,nomen,Tier
Lori,nomen,Tier
Kohl,nomen,Pflanze
Blutsauger,nomen,Tier
Kettenhund,nomen,Tier
geil,adj,natPhaenomen
Goldregen,nomen,Pflanze
Regenwolke,nomen,natPhaenomen
Trugbild,nomen,natPhaenomen
Hinscheiden,nomen,natPhaenomen
Löwenzahn,nomen,Pflanze
Kiwi,nomen,Tier
Kaiserkrone,nomen,Pflanze
Trauerweide,nomen,Pflanze
Wildkatze,nomen,Tier
Schneetreiben,nomen,natPhaenomen
Holzstück,nomen,natGegenstand
Feuerstein,nomen,natGegenstand
Melde,nomen,Pflanze
Rosenstrauch,nomen,Pflanze
Edelweiß,nomen,Pflanze
Teckel,nomen,Tier
Wildschwein,nomen,Tier
Jagdbeute,nomen,Tier
Spiegelung,nomen,natPhaenomen
verschneien,verben,natPhaenomen
Südost,nomen,natPhaenomen
Eisbär,nomen,Tier
Molch,nomen,Tier
Rosenzweig,nomen,Pflanze
Weidenbaum,nomen,Pflanze
Espenlaub,nomen,Pflanze
Wasservogel,nomen,Tier
Grundton,nomen,natPhaenomen
Stelze,nomen,Tier
Schäferhund,nomen,Tier
Wölfin,nomen,Tier
Halluzination,nomen,natPhaenomen
öd,adj,natPhaenomen
Schneeball,nomen,Pflanze
Hölzchen,nomen,natGegenstand
Knolle,nomen,Pflanze
Nordlicht,nomen,natPhaenomen
Helldunkel,nomen,natPhaenomen
auswaschen,verben,natPhaenomen
Kreuzung,nomen,Pflanze Tier
Bambus,nomen,natGegenstand Pflanze
Schecke,nomen,Tier
Zugvogel,nomen,Tier
Latsche,nomen,Pflanze
Weinrebe,nomen,Pflanze
Weinlaub,nomen,Pflanze
Seewind,nomen,natPhaenomen
Krabbe,nomen,Tier
Wegerich,nomen,Pflanze
Baldrian,nomen,Pflanze
Primel,nomen,Pflanze
Heliotrop,nomen,natGegenstand
prickeln,verben,natPhaenomen
Holzblock,nomen,natGegenstand
Baumrinde,nomen,Pflanze
fächeln,verben,natPhaenomen
Baustein,nomen,natGegenstand
Meiler,nomen,natGegenstand
Krake,nomen,Tier
Ziegenbock,nomen,Tier
Reptil,nomen,Tier
Monstrum,nomen,Tier
Steineiche,nomen,Pflanze
Lotosblume,nomen,Pflanze
Zerfall,nomen,natPhaenomen
Geranie,nomen,Pflanze
Schlick,nomen,natGegenstand
Anziehung,nomen,natPhaenomen
Herzblatt,nomen,Pflanze
Kork,nomen,Pflanze
Stämmchen,nomen,Pflanze
Neumond,nomen,natPhaenomen
Sprühregen,nomen,natPhaenomen
Baumriese,nomen,Pflanze
Iguanodon,nomen,Tier
Bachstelze,nomen,Tier
wolkig,adj,natPhaenomen
Ananas,nomen,Pflanze
Tauwetter,nomen,natPhaenomen
fachen,verben,natPhaenomen
Zufluss,nomen,natPhaenomen
Spargel,nomen,Pflanze
Zobel,nomen,Tier
Farn,nomen,Pflanze
Espe,nomen,Pflanze
Dohle,nomen,Tier
Gewitterregen,nomen,natPhaenomen
Ahornbaum,nomen,Pflanze
Salamander,nomen,Tier
Pavian,nomen,Tier
verglühen,verben,natPhaenomen
Senf,nomen,Pflanze
Abfluss,nomen,natPhaenomen
Meerkatze,nomen,Tier
Heldentod,nomen,natPhaenomen
Bauholz,nomen,natGegenstand
sengen,verben,natPhaenomen
nebelig,adj,natPhaenomen
Kaskade,nomen,natPhaenomen
Donnerkeil,nomen,natGegenstand
Lärche,nomen,Pflanze
Glatteis,nomen,natPhaenomen
Lehmboden,nomen,natGegenstand
urbar,adj,natPhaenomen
illuminieren,verben,natPhaenomen
Glockengeläut,nomen,natPhaenomen
Freudenfeuer,nomen,natPhaenomen
Alabaster,nomen,natGegenstand
Blattwerk,nomen,Pflanze
Buchsbaum,nomen,natGegenstand Pflanze
Eselin,nomen,Tier
Wintersturm,nomen,natPhaenomen
Tannenholz,nomen,natGegenstand
Borke,nomen,Pflanze
Perlmutter,nomen,Tier
Äffchen,nomen,Tier
Klapperschlange,nomen,Tier
Morgentau,nomen,natPhaenomen
Opal,nomen,natGegenstand
Enzian,nomen,Pflanze
Karnickel,nomen,Tier
Sinnestäuschung,nomen,natPhaenomen
Hausmutter,nomen,Tier
Viech,nomen,Tier
buckelig,adj,natPhaenomen
Wickel,nomen,Pflanze
Eichenlaub,nomen,Pflanze
Nadelholz,nomen,natGegenstand Pflanze
Kitz,nomen,Tier
Wassertreter,nomen,Tier
Holzkohle,nomen,natGegenstand
baumlos,adj,natPhaenomen
Schweinchen,nomen,Tier
Peitschenknall,nomen,natPhaenomen
Versteinerung,nomen,natGegenstand
Fohlen,nomen,Tier
Nachtfalter,nomen,Tier
Landregen,nomen,natPhaenomen
bewölkt,adj,natPhaenomen
Pflanzenwelt,nomen,Pflanze
Strunk,nomen,Pflanze
Hasel,nomen,Pflanze
Blütenblatt,nomen,Pflanze
Alge,nomen,Pflanze
Lasttier,nomen,Tier
Made,nomen,Tier
Puma,nomen,Tier
Unke,nomen,Tier
Tide,nomen,natPhaenomen
Steinkohle,nomen,natGegenstand
Zuckerrohr,nomen,Pflanze
Winterkälte,nomen,natPhaenomen
Meerschweinchen,nomen,Tier
Würger,nomen,Tier
Viper,nomen,Tier
Steinbock,nomen,Tier
Streiflicht,nomen,natPhaenomen
Aussaat,nomen,Pflanze
Krokus,nomen,Pflanze
Blutegel,nomen,Tier
Zuckerhut,nomen,Pflanze
Stößer,nomen,Tier
Tang,nomen,Pflanze
Reittier,nomen,Tier
Rennpferd,nomen,Tier
Oldenburger,nomen,Tier
Bö,nomen,natPhaenomen
bewohnbar,adj,natPhaenomen
Meilenstein,nomen,natGegenstand
Zebra,nomen,Tier
Sturmvogel,nomen,Tier
Kolibri,nomen,Tier
aufflackern,verben,natPhaenomen
Eichhorn,nomen,Tier
Tarantel,nomen,Tier
Rettich,nomen,Pflanze
Polyp,nomen,Tier
Mandelbaum,nomen,Pflanze
Knoblauch,nomen,Pflanze
Chimäre,nomen,Tier
Goldammer,nomen,Tier
Lichtkegel,nomen,natPhaenomen
gefrieren,verben,natPhaenomen
Knacks,nomen,natPhaenomen
Katzenauge,nomen,natGegenstand
Butterblume,nomen,Pflanze
Wiesenblume,nomen,Pflanze
Wildente,nomen,Tier
Mischling,nomen,Tier
Schlüsselblume,nomen,Pflanze
Giraffe,nomen,Tier
Schabe,nomen,Tier
Luftdruck,nomen,natPhaenomen
Mittagshitze,nomen,natPhaenomen
Felsmasse,nomen,natGegenstand
Trapp,nomen,natGegenstand
bewölken,verben,natPhaenomen
Weidengebüsch,nomen,Pflanze
Kokospalme,nomen,Pflanze
Steinbeißer,nomen,Tier
Marabu,nomen,Tier
Waldvogel,nomen,Tier
Herbststurm,nomen,natPhaenomen
Mondscheibe,nomen,natPhaenomen
Bloch,nomen,natGegenstand
Rattenfänger,nomen,Tier
sonnenverbrannt,adj,natPhaenomen
Eibe,nomen,Pflanze
Wildgans,nomen,Tier
Kerzenschein,nomen,natPhaenomen
Eierschale,nomen,natGegenstand
grasig,adj,natPhaenomen
Lavendel,nomen,Pflanze
Blütenkelch,nomen,Pflanze
Triebkraft,nomen,natPhaenomen
Rispe,nomen,Pflanze
Eberesche,nomen,Pflanze
Wacholderbusch,nomen,Pflanze
Leuchtkäfer,nomen,Tier
Brachvogel,nomen,Tier
Schlagschatten,nomen,natPhaenomen
Wermut,nomen,Pflanze
Durchzug,nomen,natPhaenomen
Schwalbennest,nomen,natGegenstand
Ordensband,nomen,Tier
Elch,nomen,Tier
Keiler,nomen,Tier
Giftschlange,nomen,Tier
Tigerin,nomen,Tier
Hagelschlag,nomen,natPhaenomen
Meereswelle,nomen,natPhaenomen
Schiefer,nomen,natGegenstand
verdunsten,verben,natPhaenomen
Weinranke,nomen,Pflanze
Schwerkraft,nomen,natPhaenomen
Steinschlag,nomen,natPhaenomen natGegenstand
Verfinsterung,nomen,natPhaenomen
Silberpappel,nomen,Pflanze
Gockel,nomen,Tier
Leineweber,nomen,Tier
Eisvogel,nomen,Tier
zugig,adj,natPhaenomen
Schlehe,nomen,Pflanze
Gänseblümchen,nomen,Pflanze
Vollblut,nomen,Tier
Wallach,nomen,Tier
Bazillus,nomen,Tier
Blindschleiche,nomen,Tier
Goldhähnchen,nomen,Tier
Urkraft,nomen,natPhaenomen
Terz,nomen,natPhaenomen
Heimgang,nomen,natPhaenomen
Nachtfrost,nomen,natPhaenomen
verdampfen,verben,natPhaenomen
Brummer,nomen,Tier
Buchweizen,nomen,Pflanze
Pegasus,nomen,Tier
Rotwild,nomen,Tier
Kreuzotter,nomen,Tier
Herbstnebel,nomen,natPhaenomen
Oktave,nomen,natPhaenomen
Rittersporn,nomen,Pflanze
Grauschimmel,nomen,Tier
Bulldogge,nomen,Tier
Milchkuh,nomen,Tier
Blitzschlag,nomen,natPhaenomen
Sonnenfinsternis,nomen,natPhaenomen
Dünung,nomen,natPhaenomen
Ehrenpreis,nomen,Pflanze
Bambusrohr,nomen,Pflanze
Einhorn,nomen,Tier
Hornisse,nomen,Tier
versumpfen,verben,natPhaenomen
Pute,nomen,Tier
Orangenbaum,nomen,Pflanze
Tannenzapfen,nomen,Pflanze
Laubbaum,nomen,Pflanze
Seevogel,nomen,Tier
Seegang,nomen,natPhaenomen
Kroton,nomen,Pflanze
Wurzelwerk,nomen,Pflanze
Pflaumenbaum,nomen,Pflanze
Stromschnelle,nomen,natPhaenomen
Sommerhitze,nomen,natPhaenomen
Eintagsfliege,nomen,Tier
Wabe,nomen,natGegenstand
Mohnblume,nomen,Pflanze
Maiglöckchen,nomen,Pflanze
Feldmaus,nomen,Tier
Hirschkuh,nomen,Tier
Überspannung,nomen,natPhaenomen
Wespennest,nomen,natGegenstand
Luftloch,nomen,natPhaenomen
Strohfeuer,nomen,natPhaenomen
Kamelie,nomen,Pflanze
Tannennadel,nomen,Pflanze
Maßliebchen,nomen,Pflanze
Wolfshund,nomen,Tier
Boa,nomen,Tier
gebirgig,adj,natPhaenomen
Wildwasser,nomen,natPhaenomen
Nebelschwaden,nomen,natPhaenomen
Rohstoff,nomen,natGegenstand
Heidelbeere,nomen,Pflanze
Sonnengold,nomen,Pflanze
Hagebutte,nomen,Pflanze
Kaffeebohne,nomen,Pflanze
Wasserpflanze,nomen,Pflanze
Zugtier,nomen,Tier
Borg,nomen,Tier
Sandboden,nomen,natGegenstand
Mauerstein,nomen,natGegenstand
verhageln,verben,natPhaenomen
Stumpen,nomen,Pflanze
Boreas,nomen,natPhaenomen
Feigenbaum,nomen,Pflanze
Schleiche,nomen,Tier
Pinguin,nomen,Tier
Hochwild,nomen,Tier
Muskelkraft,nomen,natPhaenomen
Feuerstrahl,nomen,natPhaenomen
Nebelwolke,nomen,natPhaenomen
Aloe,nomen,Pflanze
Myrte,nomen,Pflanze
Qualle,nomen,Tier
Felsgestein,nomen,natGegenstand
bergig,adj,natPhaenomen
Granatapfel,nomen,Pflanze
Herbstlaub,nomen,Pflanze
Maulbeerbaum,nomen,Pflanze
Feldfrucht,nomen,Pflanze
Maibaum,nomen,Pflanze
Höllenhund,nomen,Tier
Robbe,nomen,Tier
Gorilla,nomen,Tier
Holzwurm,nomen,Tier
Birkhahn,nomen,Tier
Werwolf,nomen,Tier
anstrahlen,verben,natPhaenomen
Radieschen,nomen,Pflanze
Sardelle,nomen,Tier
Depression,nomen,natPhaenomen
Eisenhut,nomen,Pflanze
Gemme,nomen,natGegenstand Pflanze
Rebstock,nomen,Pflanze
Hauskatze,nomen,Tier
Pirol,nomen,Tier
Nashorn,nomen,Tier
Schwarzspecht,nomen,Tier
Kreuzspinne,nomen,Tier
Gewittersturm,nomen,natPhaenomen
Naturereignis,nomen,natPhaenomen
Mimose,nomen,Pflanze
vereisen,verben,natPhaenomen
Iris,nomen,Pflanze
Lorbeerbaum,nomen,Pflanze
Föhre,nomen,Pflanze
Wisent,nomen,Tier
Felsbrocken,nomen,natGegenstand
Laubholz,nomen,natGegenstand Pflanze
Schilfrohr,nomen,Pflanze
Dromedar,nomen,Tier
Kernbeißer,nomen,Tier
Neuschnee,nomen,natPhaenomen
Chamäleon,nomen,Tier
Barsch,nomen,Tier
Gründling,nomen,Tier
Sommerwind,nomen,natPhaenomen
Lichtstreif,nomen,natPhaenomen
feuchtkalt,adj,natPhaenomen
Trift,nomen,natPhaenomen
Wasserschlauch,nomen,Pflanze
Riedgras,nomen,Pflanze
Eichenstamm,nomen,Pflanze
Amethyst,nomen,natGegenstand
Ried,nomen,Pflanze
Kampfhahn,nomen,Tier
Vielfraß,nomen,Tier
Faultier,nomen,Tier
Salbei,nomen,Pflanze
zufrieren,verben,natPhaenomen
Siebenschläfer,nomen,Tier
Hirse,nomen,Pflanze
Albino,nomen,Tier
Lebensbaum,nomen,Pflanze
blumenreich,adj,natPhaenomen
Gaslicht,nomen,natPhaenomen
Blätterwerk,nomen,Pflanze
Küken,nomen,Tier
Spitzmaus,nomen,Tier
Wirbelsturm,nomen,natPhaenomen
Gestöber,nomen,natPhaenomen
Wasserdampf,nomen,natPhaenomen
Hörnchen,nomen,Tier
Erstgeburt,nomen,natPhaenomen
Buchecker,nomen,Pflanze
Schlachtvieh,nomen,Tier
Haushund,nomen,Tier
Zikade,nomen,Tier
Opfertier,nomen,Tier
Apfelschimmel,nomen,Tier
Springflut,nomen,natPhaenomen
Wolkendecke,nomen,natPhaenomen
Gegendruck,nomen,natPhaenomen
funken,verben,natPhaenomen
Brasse,nomen,Tier
Gibbon,nomen,Tier
Hagelschauer,nomen,natPhaenomen
Fuchsbau,nomen,natGegenstand
Formation,nomen,natGegenstand
Verbrennung,nomen,natPhaenomen
Wallhecke,nomen,Pflanze
Weißdorn,nomen,Pflanze
Maiskolben,nomen,Pflanze
Seeadler,nomen,Tier
Schoßhund,nomen,Tier
Säugetier,nomen,Tier
Stichling,nomen,Tier
Sonnenwärme,nomen,natPhaenomen
Glockenläuten,nomen,natPhaenomen
Kerzenflamme,nomen,natPhaenomen
Kalkstein,nomen,natGegenstand
Rhinozeros,nomen,Tier
Imago,nomen,Tier
Hagelkorn,nomen,natPhaenomen
Seegras,nomen,Pflanze
Stechpalme,nomen,Pflanze
Dattelpalme,nomen,Pflanze
Kohlmeise,nomen,Tier
Meduse,nomen,Tier
Luftströmung,nomen,natPhaenomen
Schlussstein,nomen,natGegenstand
Flugsand,nomen,natGegenstand
klimatisch,adj,natPhaenomen
Verderb,nomen,natPhaenomen
Chrysantheme,nomen,Pflanze
Geißblatt,nomen,Pflanze
Lindenblüte,nomen,Pflanze
Fischotter,nomen,Tier
Mammut,nomen,Tier
Opferstein,nomen,natGegenstand
Schutthalde,nomen,natGegenstand
Tomate,nomen,Pflanze
Salm,nomen,Tier
Freiheitsbaum,nomen,Pflanze
Seetang,nomen,Pflanze
Wasserlilie,nomen,Pflanze
Renke,nomen,Tier
Tierreich,nomen,Tier
Dompfaff,nomen,Tier
Frühlingsregen,nomen,natPhaenomen
Nordostwind,nomen,natPhaenomen
Herbstwetter,nomen,natPhaenomen
Felsboden,nomen,natGegenstand
Hochflut,nomen,natPhaenomen
einäschern,verben,natPhaenomen
Geschiebe,nomen,natGegenstand
Blutbuche,nomen,Pflanze
Dahlie,nomen,Pflanze
Blütenstaub,nomen,Pflanze
Herbstzeitlose,nomen,Pflanze
Kalmus,nomen,Pflanze
Waldtier,nomen,Tier
Brieftaube,nomen,Tier
Seeschlange,nomen,Tier
Aussterben,nomen,natPhaenomen
Kautschuk,nomen,natGegenstand
Hänfling,nomen,Tier
Eiseskälte,nomen,natPhaenomen
Fuchsschwanz,nomen,Pflanze
Fauna,nomen,Tier
Ästchen,nomen,Pflanze
Sommerblume,nomen,Pflanze
Waldmaus,nomen,Tier
Waldbrand,nomen,natPhaenomen
sternenklar,adj,natPhaenomen
Koppe,nomen,Tier
Walnuss,nomen,Pflanze
Feigenblatt,nomen,Pflanze
Schnauzer,nomen,Tier
Katarakt,nomen,natPhaenomen
Buchenlaub,nomen,Pflanze
Heckenrose,nomen,Pflanze
Palmzweig,nomen,Pflanze
Albatros,nomen,Tier
Mistkäfer,nomen,Tier
Seeigel,nomen,Tier
Erdstoß,nomen,natPhaenomen
Wüstensand,nomen,natGegenstand
Aprikose,nomen,Pflanze
Glucke,nomen,Tier
Malteser,nomen,Tier
Ölzweig,nomen,Pflanze
Neuntöter,nomen,Tier
Flunder,nomen,Tier
Glühwürmchen,nomen,Tier
Dorsch,nomen,Tier
Seeschwalbe,nomen,Tier
Dampfkraft,nomen,natPhaenomen
Südwand,nomen,natGegenstand
wetterleuchten,verben,natPhaenomen
Wurzelstock,nomen,Pflanze
Stiefmütterchen,nomen,Pflanze
Nachtschatten,nomen,Pflanze
Zitronenfalter,nomen,Tier
Schlachtross,nomen,Tier
Treibholz,nomen,natGegenstand
Schotter,nomen,natGegenstand
Flint,nomen,natGegenstand
steril,adj,natPhaenomen
Blumenkohl,nomen,Pflanze
Seestern,nomen,Tier
Fischchen,nomen,Tier
Volldampf,nomen,natPhaenomen
Wellenberg,nomen,natPhaenomen
Feuertod,nomen,natPhaenomen
Dünensand,nomen,natGegenstand
Fluh,nomen,natGegenstand
Basalt,nomen,natGegenstand
grasbewachsen,adj,natPhaenomen
