Word,PoS,GermaNet_fields
Tintenfisch,nomen,Tier
Bodenwelle,nomen,natPhaenomen
Pfefferkorn,nomen,Pflanze
Baumstrunk,nomen,Pflanze
Wicke,nomen,Pflanze
Ackergaul,nomen,Tier
Waldkauz,nomen,Tier
herunterbrennen,verben,natPhaenomen
feuchtwarm,adj,natPhaenomen
Seebär,nomen,Tier
Aufheiterung,nomen,natPhaenomen
Palmblatt,nomen,Pflanze
Agave,nomen,Pflanze
Wasserhuhn,nomen,Tier
Bernhardiner,nomen,Tier
Schmeißfliege,nomen,Tier
Traber,nomen,Tier
Ringeltaube,nomen,Tier
Wolkenbank,nomen,natPhaenomen
Frühlingswetter,nomen,natPhaenomen
Höllenfeuer,nomen,natPhaenomen
Hingang,nomen,natPhaenomen
Onyx,nomen,natGegenstand
vierblättrig,adj,natPhaenomen
ablagern,verben,natPhaenomen
Bocksbart,nomen,Pflanze
Eselsohr,nomen,Pflanze
Margerite,nomen,Pflanze
Buchenstamm,nomen,Pflanze
Hainbuche,nomen,Pflanze
Puter,nomen,Tier
Fabelwesen,nomen,Tier
Schmiedefeuer,nomen,natPhaenomen
Scheintod,nomen,natPhaenomen
Heimaterde,nomen,natGegenstand
durchscheinen,verben,natPhaenomen
zusammenbrauen,verben,natPhaenomen
Raute,nomen,Pflanze
Raps,nomen,Pflanze
Ableger,nomen,Pflanze
Königskerze,nomen,Pflanze
Höhlenbär,nomen,Tier
Zentaur,nomen,Tier
Stachelschwein,nomen,Tier
Schädling,nomen,Tier
Gams,nomen,Tier
Nachtschwalbe,nomen,Tier
Lavastrom,nomen,natGegenstand
Ypsilon,nomen,Tier
Aufhellung,nomen,natPhaenomen
Gummibaum,nomen,Pflanze
Sauerampfer,nomen,Pflanze
Erpel,nomen,Tier
Säuger,nomen,Tier
Bandwurm,nomen,Tier
Tapir,nomen,Tier
Schweißhund,nomen,Tier
Basilisk,nomen,Tier
Kaulquappe,nomen,Tier
Gravitation,nomen,natPhaenomen
Adlerhorst,nomen,natGegenstand
Wasserratte,nomen,Tier
Ziegenbart,nomen,Pflanze
Schlehdorn,nomen,Pflanze
Dornenhecke,nomen,Pflanze
Leberblümchen,nomen,Pflanze
Stechmücke,nomen,Tier
Wels,nomen,Tier
Osterhase,nomen,Tier
Dronte,nomen,Tier
Weißfisch,nomen,Tier
Grünspecht,nomen,Tier
Jagdtrophäe,nomen,Tier
Medusenhaupt,nomen,Tier
Häsin,nomen,Tier
Spanferkel,nomen,Tier
Schneehuhn,nomen,Tier
Dunstwolke,nomen,natPhaenomen
Spinnennetz,nomen,natGegenstand
Schwertlilie,nomen,Pflanze
Tollkirsche,nomen,Pflanze
Rammler,nomen,Tier
Schleiereule,nomen,Tier
Gauch,nomen,Tier
Turmfalke,nomen,Tier
Flutwelle,nomen,natPhaenomen
Lebewelt,nomen,natPhaenomen
Kartoffelschale,nomen,Pflanze
Süßholz,nomen,Pflanze
Fichtenstamm,nomen,Pflanze
Wunderblume,nomen,Pflanze
Runkelrübe,nomen,Pflanze
Hanfsamen,nomen,Pflanze
Stechfliege,nomen,Tier
Feuerkugel,nomen,natPhaenomen
Naturwunder,nomen,natPhaenomen
Tierleben,nomen,natPhaenomen
Nebelwand,nomen,natPhaenomen
Schallwelle,nomen,natPhaenomen
Edeltanne,nomen,Pflanze
Wiedehopf,nomen,Tier
Dachs,nomen,Tier
Seelöwe,nomen,Tier
Edelhirsch,nomen,Tier
Brutstätte,nomen,natGegenstand
Safran,nomen,Pflanze
Auftrieb,nomen,natPhaenomen
Schmerling,nomen,Pflanze
Azalee,nomen,Pflanze
Fichtennadel,nomen,Pflanze
Wanderfalke,nomen,Tier
Waschbär,nomen,Tier
Federkraft,nomen,natPhaenomen
Opfertod,nomen,natPhaenomen
Mistral,nomen,natPhaenomen
Gegenwind,nomen,natPhaenomen
Felsentor,nomen,natGegenstand
Hydra,nomen,Tier
Frischling,nomen,Tier
Halbblut,nomen,Tier
Viole,nomen,Pflanze
Pfingstrose,nomen,Pflanze
Windröschen,nomen,Pflanze
Saurier,nomen,Tier
Mehlwurm,nomen,Tier
Achat,nomen,natGegenstand
Mahagoni,nomen,natGegenstand
Humus,nomen,natGegenstand
anleuchten,verben,natPhaenomen
Alraun,nomen,Pflanze
Erdschicht,nomen,natGegenstand
Vanille,nomen,Pflanze
Resonanz,nomen,natPhaenomen
Türkis,nomen,natGegenstand
Heilkraut,nomen,Pflanze
Dornstrauch,nomen,Pflanze
Beutler,nomen,Tier
Ringelnatter,nomen,Tier
Lichtwelle,nomen,natPhaenomen
Seesturm,nomen,natPhaenomen
Flöz,nomen,natGegenstand
Matsch,nomen,natGegenstand
Wasserschlange,nomen,Tier
Lichthof,nomen,natPhaenomen
Waldbewohner,nomen,Tier
Schlangenkopf,nomen,Tier
Opossum,nomen,Tier
Weidenzweig,nomen,Pflanze
Nadelbaum,nomen,Pflanze
Schnock,nomen,Tier
Karausche,nomen,Tier
Trauermantel,nomen,Tier
Stichflamme,nomen,natPhaenomen
Lichtreflex,nomen,natPhaenomen
Märtyrertod,nomen,natPhaenomen
Sommerwetter,nomen,natPhaenomen
Miasma,nomen,natPhaenomen
Schlupf,nomen,natPhaenomen
Hülsenfrucht,nomen,Pflanze
Sesam,nomen,Pflanze
Kabeljau,nomen,Tier
Quinte,nomen,natPhaenomen
Zustrom,nomen,natPhaenomen
Düsternis,nomen,natPhaenomen
Bambusstab,nomen,Pflanze
Blütenknospe,nomen,Pflanze
Kirschblüte,nomen,natPhaenomen Pflanze
Molosser,nomen,Tier
Blaumeise,nomen,Tier
Königstiger,nomen,Tier
Steinadler,nomen,Tier
Grashüpfer,nomen,Tier
Sommerregen,nomen,natPhaenomen
Bimsstein,nomen,natGegenstand
Rhabarber,nomen,Pflanze
Lindenblatt,nomen,Pflanze
Feuerbohne,nomen,Pflanze
Herbstblatt,nomen,Pflanze
Lorbeerzweig,nomen,Pflanze
Augentrost,nomen,Pflanze
Hahnenfuß,nomen,Pflanze
Hirschkäfer,nomen,Tier
Kentaur,nomen,Tier
Terrier,nomen,Tier
Sprotte,nomen,Tier
Flamingo,nomen,Tier
Buntspecht,nomen,Tier
Pinscher,nomen,Tier
Mondfinsternis,nomen,natPhaenomen
Osterfeuer,nomen,natPhaenomen
Blitzlicht,nomen,natPhaenomen
Halbschatten,nomen,natPhaenomen
Felsklippe,nomen,natGegenstand
Fichtenholz,nomen,natGegenstand
diesig,adj,natPhaenomen
Brechung,nomen,natPhaenomen
Ordensstern,nomen,Pflanze
Haselstaude,nomen,Pflanze
Birkenrinde,nomen,Pflanze
Giftpflanze,nomen,Pflanze
Rosenblüte,nomen,natPhaenomen Pflanze
Rohrsänger,nomen,Tier
Rehwild,nomen,Tier
Trichine,nomen,Tier
Luftspiegelung,nomen,natPhaenomen
Frühnebel,nomen,natPhaenomen
Wellengang,nomen,natPhaenomen
Topas,nomen,natGegenstand
Steilwand,nomen,natGegenstand
Lapis,nomen,natGegenstand
zuwehen,verben,natPhaenomen
Königsstuhl,nomen,natGegenstand
Sardine,nomen,Tier
Schwalbenschwanz,nomen,Tier
Rhododendron,nomen,Pflanze
Wildsau,nomen,Tier
Philomele,nomen,Tier
Wasseramsel,nomen,Tier
Bienchen,nomen,Tier
Geißbock,nomen,Tier
Seefisch,nomen,Tier
Felsgrund,nomen,natGegenstand
Moorboden,nomen,natGegenstand
Gartenerde,nomen,natGegenstand
Haustein,nomen,natGegenstand
Mull,nomen,natGegenstand
Pelle,nomen,Pflanze
Früchtchen,nomen,Pflanze
Ventilation,nomen,natPhaenomen
Taxus,nomen,Pflanze
Brombeerstrauch,nomen,Pflanze
Rosskastanie,nomen,Pflanze
Waldrebe,nomen,Pflanze
Olivenbaum,nomen,Pflanze
Zichorie,nomen,Pflanze
Dachshund,nomen,Tier
Füchsin,nomen,Tier
Schleie,nomen,Tier
Menschenaffe,nomen,Tier
Blattlaus,nomen,Tier
Singschwan,nomen,Tier
Bekassine,nomen,Tier
Birkhuhn,nomen,Tier
Meeresbrandung,nomen,natPhaenomen
Muttererde,nomen,natGegenstand
wegschmelzen,verben,natPhaenomen
kristallisieren,verben,natPhaenomen
Quitte,nomen,Pflanze
Wühler,nomen,Tier
Bärentatze,nomen,Pflanze
Vogelbeere,nomen,Pflanze
Holzstamm,nomen,Pflanze
Vogelwelt,nomen,Tier
Kondor,nomen,Tier
Wildeber,nomen,Tier
Tanzbär,nomen,Tier
Sattelpferd,nomen,Tier
Drachenkopf,nomen,Tier
Rohrdommel,nomen,Tier
Dickhäuter,nomen,Tier
Lichtblitz,nomen,natPhaenomen
Erdklumpen,nomen,natGegenstand
Bruchstein,nomen,natGegenstand
Schellack,nomen,natGegenstand
Lapislazuli,nomen,natGegenstand
Koks,nomen,natGegenstand
Erdmännchen,nomen,Tier
Wunderlampe,nomen,Tier
Osterglocke,nomen,Pflanze
Blütenzweig,nomen,Pflanze
Entlein,nomen,Tier
Strumpfwirker,nomen,Tier
Pfauenauge,nomen,Tier
Goldkäfer,nomen,Tier
Regenpfeifer,nomen,Tier
Wasserkraft,nomen,natPhaenomen
Rheinfall,nomen,natPhaenomen
Zedernholz,nomen,natGegenstand
Lindenholz,nomen,natGegenstand
Nilschlamm,nomen,natGegenstand
aufglühen,verben,natPhaenomen
fischreich,adj,natPhaenomen
Gegenströmung,nomen,natPhaenomen
überhitzen,verben,natPhaenomen
Nullpunkt,nomen,natPhaenomen
Nährboden,nomen,natGegenstand
Kuckucksei,nomen,Tier
Fruchtschale,nomen,Pflanze
Huflattich,nomen,Pflanze
Sandelholz,nomen,Pflanze
Mittagsonne,nomen,natPhaenomen
Kulturland,nomen,natGegenstand
Trampeltier,nomen,Tier
Ohrwurm,nomen,Tier
Lupine,nomen,Pflanze
Zitronenbaum,nomen,Pflanze
Schnake,nomen,Tier
Assel,nomen,Tier
Biberratte,nomen,Tier
Minotaurus,nomen,Tier
Fischreiher,nomen,Tier
Raubfisch,nomen,Tier
Knack,nomen,natPhaenomen
Rosenholz,nomen,natGegenstand
Feuerholz,nomen,natGegenstand
Holzplanke,nomen,natGegenstand
parkähnlich,adj,natPhaenomen
Spottdrossel,nomen,Tier
Abort,nomen,natPhaenomen
Weidenröschen,nomen,Pflanze
Edelkastanie,nomen,Pflanze
Haselstrauch,nomen,Pflanze
Lotusblume,nomen,Pflanze
Buchenzweig,nomen,Pflanze
Rotschwänzchen,nomen,Tier
Rabenkrähe,nomen,Tier
Drohn,nomen,Tier
Äsche,nomen,Tier
Schwarzwild,nomen,Tier
Eigenleben,nomen,natPhaenomen
Sommersonnenwende,nomen,natPhaenomen
Winterwetter,nomen,natPhaenomen
Moräne,nomen,natGegenstand
Geröllhalde,nomen,natGegenstand
Kolophonium,nomen,natGegenstand
Meerrettich,nomen,Pflanze
Quarte,nomen,natPhaenomen
Frauenhaar,nomen,Pflanze
Wildrose,nomen,Pflanze
Wollgras,nomen,Pflanze
Rotbuche,nomen,Pflanze
Phlox,nomen,Pflanze
Maiskorn,nomen,Pflanze
Runkel,nomen,Pflanze
Totenvogel,nomen,Tier
Böckchen,nomen,Tier
Polizeihund,nomen,Tier
Eichelhäher,nomen,Tier
Saatkrähe,nomen,Tier
Nagetier,nomen,Tier
Rassepferd,nomen,Tier
Kolkrabe,nomen,Tier
Fehlgeburt,nomen,natPhaenomen
Nebelbank,nomen,natPhaenomen
Mahagoniholz,nomen,natGegenstand
Kohlenmeiler,nomen,natGegenstand
unbewohnbar,adj,natPhaenomen
Frequenz,nomen,natPhaenomen
Massiv,nomen,natGegenstand
Platzhirsch,nomen,Tier
Falkenauge,nomen,natGegenstand
Preiselbeere,nomen,Pflanze
Morchel,nomen,Pflanze
Kirschkern,nomen,Pflanze
Eichenbaum,nomen,Pflanze
Lotos,nomen,Pflanze
Faulbaum,nomen,Pflanze
Zerberus,nomen,Tier
Hohltaube,nomen,Tier
Feenkönigin,nomen,Tier
Borkenkäfer,nomen,Tier
Schellfisch,nomen,Tier
Flusspferd,nomen,Tier
Muttertier,nomen,Tier
Muli,nomen,Tier
Steinquader,nomen,natGegenstand
Birkenholz,nomen,natGegenstand
Tropfstein,nomen,natGegenstand
Grundstoff,nomen,natGegenstand
Lauch,nomen,Pflanze
Höhlenbewohner,nomen,Tier
Emission,nomen,natPhaenomen
Holzbock,nomen,Tier
Stachelbeerstrauch,nomen,Pflanze
Ringelblume,nomen,Pflanze
Topfpflanze,nomen,Pflanze
Birkenlaub,nomen,Pflanze
Kopfweide,nomen,Pflanze
Alpenveilchen,nomen,Pflanze
Weidenkätzchen,nomen,Pflanze
Walnussbaum,nomen,Pflanze
Singdrossel,nomen,Tier
Sackträger,nomen,Tier
Wasserjungfer,nomen,Tier
Zugochse,nomen,Tier
Spiegelkarpfen,nomen,Tier
Bison,nomen,Tier
Perlmuschel,nomen,Tier
Winterfrost,nomen,natPhaenomen
Gezeiten,nomen,natPhaenomen
Röntgenstrahl,nomen,natPhaenomen
Südwestwind,nomen,natPhaenomen
Tragkraft,nomen,natPhaenomen
Eschenholz,nomen,natGegenstand
waldreich,adj,natPhaenomen
Öldruck,nomen,natPhaenomen
Wolfsmilch,nomen,Pflanze
Setzling,nomen,Pflanze Tier
Waldvöglein,nomen,Pflanze
Palmenwedel,nomen,Pflanze
Katzenpfötchen,nomen,Pflanze
Nestling,nomen,Tier
Bakterium,nomen,Tier
Mutterschaf,nomen,Tier
Haselmaus,nomen,Tier
Ai,nomen,Tier
Edelmarder,nomen,Tier
Widerklang,nomen,natPhaenomen
Schlaglicht,nomen,natPhaenomen
Nordwestwind,nomen,natPhaenomen
Kometenschweif,nomen,natPhaenomen
Körperwärme,nomen,natPhaenomen
durchstrahlen,verben,natPhaenomen
Konglomerat,nomen,natGegenstand
Storchschnabel,nomen,Pflanze
Solitär,nomen,natGegenstand
Fliegenpilz,nomen,Pflanze
Feuerlilie,nomen,Pflanze
Tamariske,nomen,Pflanze
Bilsenkraut,nomen,Pflanze
Baumläufer,nomen,Tier
Stöcker,nomen,Tier
Auerochse,nomen,Tier
Sittich,nomen,Tier
Schneegans,nomen,Tier
Seidenraupe,nomen,Tier
Schwarzdrossel,nomen,Tier
Raubwürger,nomen,Tier
Siebengestirn,nomen,natPhaenomen
Guano,nomen,natGegenstand
Halbedelstein,nomen,natGegenstand
Kleinholz,nomen,natGegenstand
Marmorstein,nomen,natGegenstand
hineinleuchten,verben,natPhaenomen
sternklar,adj,natPhaenomen
Afghane,nomen,Tier
Frühgeburt,nomen,natPhaenomen
schauern,verben,natPhaenomen
Blesse,nomen,Tier
Durchschlag,nomen,natPhaenomen
Brecher,nomen,natPhaenomen
Kerner,nomen,Pflanze
Mistel,nomen,Pflanze
Akelei,nomen,Pflanze
Färbermeister,nomen,Pflanze
Torfmoos,nomen,Pflanze
Braunelle,nomen,Pflanze Tier
Gelege,nomen,Tier
Dassel,nomen,Tier
Raubwild,nomen,Tier
Bärchen,nomen,Tier
Froschlaich,nomen,Tier
Wiederkäuer,nomen,Tier
Ochsenfrosch,nomen,Tier
Seetier,nomen,Tier
Abendgrauen,nomen,natPhaenomen
Herzton,nomen,natPhaenomen
Hickory,nomen,natGegenstand
Buchenholz,nomen,natGegenstand
bergisch,adj,natPhaenomen
verschlammen,verben,natPhaenomen
Zugkraft,nomen,natPhaenomen
Zicke,nomen,Tier
Lein,nomen,Pflanze
Astgabel,nomen,Pflanze
Mispel,nomen,Pflanze
Orangenschale,nomen,Pflanze
Sumpfpflanze,nomen,Pflanze
Tulpenbaum,nomen,Pflanze
Maiblume,nomen,Pflanze
Strandläufer,nomen,Tier
Basset,nomen,Tier
Ortolan,nomen,Tier
Charolais,nomen,Tier
Wärmegrad,nomen,natPhaenomen
Hurrikan,nomen,natPhaenomen
Strahlung,nomen,natPhaenomen
Monsun,nomen,natPhaenomen
Storchennest,nomen,natGegenstand
Holzstückchen,nomen,natGegenstand
Gneis,nomen,natGegenstand
Unterströmung,nomen,natPhaenomen
Anis,nomen,Pflanze
Norne,nomen,Pflanze
Brüllaffe,nomen,Tier
Urgestein,nomen,natGegenstand
Spektrum,nomen,natPhaenomen
Teufelskralle,nomen,Pflanze
Strandhafer,nomen,Pflanze
Zwetschgenbaum,nomen,Pflanze
Dornengestrüpp,nomen,Pflanze
Sauerklee,nomen,Pflanze
Rotschwanz,nomen,Tier
Orang-Utan,nomen,Tier
Dobermann,nomen,Tier
Wachhund,nomen,Tier
Heidelerche,nomen,Tier
Ren,nomen,Tier
Guanako,nomen,Tier
Schwertträger,nomen,Tier
Damhirsch,nomen,Tier
Wolkenmeer,nomen,natPhaenomen
Strichregen,nomen,natPhaenomen
Tropenklima,nomen,natPhaenomen
Gefrierpunkt,nomen,natPhaenomen
Halbton,nomen,natPhaenomen
Fossil,nomen,natGegenstand
Scheitholz,nomen,natGegenstand
Schrofen,nomen,natGegenstand
gleißen,verben,natPhaenomen
Grünkohl,nomen,Pflanze
Kohlrabi,nomen,Pflanze
Languste,nomen,Tier
Rückstoß,nomen,natPhaenomen
Haftung,nomen,natPhaenomen
Zuckerrübe,nomen,Pflanze
Tännchen,nomen,Pflanze
Kreuzdorn,nomen,Pflanze
Mangobaum,nomen,Pflanze
Teerose,nomen,Pflanze
Schafgarbe,nomen,Pflanze
Vogelbeerbaum,nomen,Pflanze
Hauswurz,nomen,Pflanze
Nachtviole,nomen,Pflanze
Steinschmätzer,nomen,Tier
Krähenvogel,nomen,Tier
Tausendfüßler,nomen,Tier
Langohr,nomen,Tier
Schwarzstorch,nomen,Tier
Nager,nomen,Tier
Mastodon,nomen,Tier
Lebensenergie,nomen,natPhaenomen
Blizzard,nomen,natPhaenomen
Sonnenstrahlung,nomen,natPhaenomen
Erdschatten,nomen,natPhaenomen
Baumblüte,nomen,natPhaenomen
Jahresring,nomen,natPhaenomen
Schneelawine,nomen,natPhaenomen
Sandkörnchen,nomen,natGegenstand
Granitstein,nomen,natGegenstand
Eichenbohle,nomen,natGegenstand
Randstein,nomen,natGegenstand
lohen,verben,natPhaenomen
Mangrove,nomen,Pflanze
Dinkel,nomen,Pflanze
hereinschneien,verben,natPhaenomen
Reduktion,nomen,natPhaenomen
Hochdruck,nomen,natPhaenomen
Drohne,nomen,Tier
Geranium,nomen,Pflanze
Holzapfel,nomen,Pflanze
Schachtelhalm,nomen,Pflanze
Luftwurzel,nomen,Pflanze
Beerenstrauch,nomen,Pflanze
Schlachttier,nomen,Tier
Termite,nomen,Tier
Feldlerche,nomen,Tier
Zecke,nomen,Tier
Frettchen,nomen,Tier
Mungo,nomen,Tier
Wolkenbildung,nomen,natPhaenomen
Gaswolke,nomen,natPhaenomen
Eos,nomen,natPhaenomen
Wasserdruck,nomen,natPhaenomen
Mahlstein,nomen,natGegenstand
Kamee,nomen,natGegenstand
orkanartig,adj,natPhaenomen
Wendehals,nomen,Tier
Drachenblut,nomen,natGegenstand
Hochspannung,nomen,natPhaenomen
Buchsbaumhecke,nomen,Pflanze
Reseda,nomen,Pflanze
Wunderbaum,nomen,Pflanze
Waid,nomen,Pflanze
Beifuß,nomen,Pflanze
Quecke,nomen,Pflanze
Kamille,nomen,Pflanze
Saumtier,nomen,Tier
Stubenfliege,nomen,Tier
Kleiber,nomen,Tier
Heupferd,nomen,Tier
Haubenlerche,nomen,Tier
Damwild,nomen,Tier
Laich,nomen,Tier
Mauersegler,nomen,Tier
Dorngrasmücke,nomen,Tier
Schafbock,nomen,Tier
Stallhase,nomen,Tier
Jagdfalke,nomen,Tier
Siedepunkt,nomen,natPhaenomen
Deichbruch,nomen,natPhaenomen
Marschtempo,nomen,natPhaenomen
Kreuzestod,nomen,natPhaenomen
Cis,nomen,natPhaenomen
Eierlegen,nomen,natPhaenomen
Oberton,nomen,natPhaenomen
Südostwind,nomen,natPhaenomen
Glasstein,nomen,natGegenstand
Kirschbaumholz,nomen,natGegenstand
Stammholz,nomen,natGegenstand
Fenchel,nomen,Pflanze
Makrele,nomen,Tier
Thunfisch,nomen,Tier
Arbeitstier,nomen,Tier
Brillenschlange,nomen,Tier
Fokus,nomen,natPhaenomen
Vogelkopf,nomen,Pflanze
Spreite,nomen,Pflanze
Seidelbast,nomen,Pflanze
Alleebaum,nomen,Pflanze
Wasserpest,nomen,Pflanze
Belladonna,nomen,Pflanze
Zierstrauch,nomen,Pflanze
Farnwedel,nomen,Pflanze
Minze,nomen,Pflanze
Teichrose,nomen,Pflanze
Ahornblatt,nomen,Pflanze
Kuhschelle,nomen,Pflanze
Walross,nomen,Tier
Gepard,nomen,Tier
Trakehner,nomen,Tier
Python,nomen,Tier
Dinosaurier,nomen,Tier
Rauchschwalbe,nomen,Tier
Spechtmeise,nomen,Tier
Fabeltier,nomen,Tier
Hinde,nomen,Tier
Lieblingspferd,nomen,Tier
Laufkäfer,nomen,Tier
Schimpanse,nomen,Tier
Meeresströmung,nomen,natPhaenomen
Golfstrom,nomen,natPhaenomen
Überflutung,nomen,natPhaenomen
Passat,nomen,natPhaenomen
Braunkohle,nomen,natGegenstand
Sonnenstein,nomen,natGegenstand
Nordwand,nomen,natGegenstand
Eckstein,nomen,natGegenstand
Ahornholz,nomen,natGegenstand
Meteorit,nomen,natGegenstand
wildwachsend,adj,natPhaenomen
Seezunge,nomen,Tier
Frauenschuh,nomen,Pflanze
Weißtanne,nomen,Pflanze
Buchenblatt,nomen,Pflanze
Immortelle,nomen,Pflanze
Zierpflanze,nomen,Pflanze
Luzerne,nomen,Pflanze
Amaryllis,nomen,Pflanze
Palmwedel,nomen,Pflanze
Kleingetier,nomen,Tier
Nautilus,nomen,Tier
Weinbergschnecke,nomen,Tier
Arbeitspferd,nomen,Tier
Ameisenbär,nomen,Tier
Egel,nomen,Tier
Herdentier,nomen,Tier
Angorakatze,nomen,Tier
Haselhuhn,nomen,Tier
Turmschwalbe,nomen,Tier
Nisse,nomen,Tier
Geistchen,nomen,Tier
Seeungeheuer,nomen,Tier
Ralle,nomen,Tier
Wasserfrosch,nomen,Tier
Polarnacht,nomen,natPhaenomen
Erdöl,nomen,natGegenstand
Tonerde,nomen,natGegenstand
Jade,nomen,natGegenstand
Klinker,nomen,natGegenstand
wolkenverhangen,adj,natPhaenomen
Droge,nomen,natGegenstand
Grus,nomen,natGegenstand
Marone,nomen,Pflanze
Primat,nomen,Tier
Dynamik,nomen,natPhaenomen
Steinbrech,nomen,Pflanze
Lattich,nomen,Pflanze
Getreidekorn,nomen,Pflanze
Spelze,nomen,Pflanze
Hängebirke,nomen,Pflanze
Steckling,nomen,Pflanze
Meltau,nomen,Pflanze
Schmarotzerpflanze,nomen,Pflanze
Feuerschwamm,nomen,Pflanze
Hederich,nomen,Pflanze
Sturmhut,nomen,Pflanze
Fichtenzapfen,nomen,Pflanze
Ölpalme,nomen,Pflanze
Liguster,nomen,Pflanze
Portugieser,nomen,Pflanze
Rübsen,nomen,Pflanze
Rattler,nomen,Tier
Wasserspitzmaus,nomen,Tier
Gabelbock,nomen,Tier
Enterich,nomen,Tier
Schreiadler,nomen,Tier
Himmelsziege,nomen,Tier
Dingo,nomen,Tier
Totenuhr,nomen,Tier
Waldohreule,nomen,Tier
Wapiti,nomen,Tier
Rampenlicht,nomen,natPhaenomen
Erstickungstod,nomen,natPhaenomen
Granitwand,nomen,natGegenstand
Mutterboden,nomen,natGegenstand
spätsommerlich,adj,natPhaenomen
Mikrokosmos,nomen,natPhaenomen
Seeteufel,nomen,Tier
hineinblasen,verben,natPhaenomen
Bourdon,nomen,natPhaenomen
Gegenkraft,nomen,natPhaenomen
Palmenblatt,nomen,Pflanze
Eichenblatt,nomen,Pflanze
Passionsblume,nomen,Pflanze
Saatgut,nomen,Pflanze
Milchsaft,nomen,Pflanze
Schilfgras,nomen,Pflanze
Kernholz,nomen,Pflanze
Ecker,nomen,Pflanze
Holunderblüte,nomen,Pflanze
Zitteraal,nomen,Tier
Vollblüter,nomen,Tier
Vollblutpferd,nomen,Tier
Rohrweihe,nomen,Tier
Wachtelhund,nomen,Tier
Schwertfisch,nomen,Tier
Ameisenlöwe,nomen,Tier
Piepmatz,nomen,Tier
Breme,nomen,Tier
Weisel,nomen,Tier
Riesenspinne,nomen,Tier
Fischbrut,nomen,Tier
Waldschnepfe,nomen,Tier
Alk,nomen,Tier
Versuchstier,nomen,Tier
Laubvogel,nomen,Tier
Federwild,nomen,Tier
Hühnerhabicht,nomen,Tier
Packpferd,nomen,Tier
Silbermöwe,nomen,Tier
Seepferdchen,nomen,Tier
Seepferd,nomen,Tier
Sonnenwind,nomen,natPhaenomen
Luftbewegung,nomen,natPhaenomen
Föhnwind,nomen,natPhaenomen
Bergrutsch,nomen,natPhaenomen
Böe,nomen,natPhaenomen
